exp_id,block,tab_name,index,index_name,eval_metric,metric_name,metric_family,frequency,origin_no,horizon_start,horizon_end,n_periods,train_data_start,train_data_end,train_periods,validation_periods,total_window,pretrained_models,refit_full,regime_of_horizon_start,records,script,tab_config,result_workbook,result_tab,status,runtime_sec,hardware,run_date,notes
B00-M-001,0.0,Blk0_RefitFullCheck,HCPI,Headline Consumer Price Index,EM2,MAE,Point,Monthly,1,Jan 2020,Dec 2020,12,Jan 2014,Dec 2019,48,24,72,No,False,R1 COVID-19 shock,Point + quantile + weights,Code/Blk0_RefitFullCheck/Blk0_RefitFullCheck.py,Code/common/config_Blk0_RefitFullCheck.yaml,Results/Results_Blk0_RefitFullCheck.xlsx,B00-M-001,Not started,,,,
B00-M-002,0.0,Blk0_RefitFullCheck,HCPI,Headline Consumer Price Index,EM2,MAE,Point,Monthly,2,Feb 2020,Jan 2021,12,Feb 2014,Jan 2020,48,24,72,No,False,R1 COVID-19 shock,Point + quantile + weights,Code/Blk0_RefitFullCheck/Blk0_RefitFullCheck.py,Code/common/config_Blk0_RefitFullCheck.yaml,Results/Results_Blk0_RefitFullCheck.xlsx,B00-M-002,Not started,,,,
B00-M-003,0.0,Blk0_RefitFullCheck,HCPI,Headline Consumer Price Index,EM2,MAE,Point,Monthly,3,Mar 2020,Feb 2021,12,Mar 2014,Feb 2020,48,24,72,No,False,R1 COVID-19 shock,Point + quantile + weights,Code/Blk0_RefitFullCheck/Blk0_RefitFullCheck.py,Code/common/config_Blk0_RefitFullCheck.yaml,Results/Results_Blk0_RefitFullCheck.xlsx,B00-M-003,Not started,,,,
B00-M-004,0.0,Blk0_RefitFullCheck,HCPI,Headline Consumer Price Index,EM2,MAE,Point,Monthly,4,Apr 2020,Mar 2021,12,Apr 2014,Mar 2020,48,24,72,No,False,R1 COVID-19 shock,Point + quantile + weights,Code/Blk0_RefitFullCheck/Blk0_RefitFullCheck.py,Code/common/config_Blk0_RefitFullCheck.yaml,Results/Results_Blk0_RefitFullCheck.xlsx,B00-M-004,Not started,,,,
B00-M-005,0.0,Blk0_RefitFullCheck,HCPI,Headline Consumer Price Index,EM2,MAE,Point,Monthly,5,May 2020,Apr 2021,12,May 2014,Apr 2020,48,24,72,No,False,R1 COVID-19 shock,Point + quantile + weights,Code/Blk0_RefitFullCheck/Blk0_RefitFullCheck.py,Code/common/config_Blk0_RefitFullCheck.yaml,Results/Results_Blk0_RefitFullCheck.xlsx,B00-M-005,Not started,,,,
B00-M-006,0.0,Blk0_RefitFullCheck,HCPI,Headline Consumer Price Index,EM2,MAE,Point,Monthly,6,Jun 2020,May 2021,12,Jun 2014,May 2020,48,24,72,No,False,R1 COVID-19 shock,Point + quantile + weights,Code/Blk0_RefitFullCheck/Blk0_RefitFullCheck.py,Code/common/config_Blk0_RefitFullCheck.yaml,Results/Results_Blk0_RefitFullCheck.xlsx,B00-M-006,Not started,,,,
B00-M-007,0.0,Blk0_RefitFullCheck,HCPI,Headline Consumer Price Index,EM2,MAE,Point,Monthly,7,Jul 2020,Jun 2021,12,Jul 2014,Jun 2020,48,24,72,No,False,R1 COVID-19 shock,Point + quantile + weights,Code/Blk0_RefitFullCheck/Blk0_RefitFullCheck.py,Code/common/config_Blk0_RefitFullCheck.yaml,Results/Results_Blk0_RefitFullCheck.xlsx,B00-M-007,Not started,,,,
B00-M-008,0.0,Blk0_RefitFullCheck,HCPI,Headline Consumer Price Index,EM2,MAE,Point,Monthly,8,Aug 2020,Jul 2021,12,Aug 2014,Jul 2020,48,24,72,No,False,R1 COVID-19 shock,Point + quantile + weights,Code/Blk0_RefitFullCheck/Blk0_RefitFullCheck.py,Code/common/config_Blk0_RefitFullCheck.yaml,Results/Results_Blk0_RefitFullCheck.xlsx,B00-M-008,Not started,,,,
B00-M-009,0.0,Blk0_RefitFullCheck,HCPI,Headline Consumer Price Index,EM2,MAE,Point,Monthly,9,Sep 2020,Aug 2021,12,Sep 2014,Aug 2020,48,24,72,No,False,R1 COVID-19 shock,Point + quantile + weights,Code/Blk0_RefitFullCheck/Blk0_RefitFullCheck.py,Code/common/config_Blk0_RefitFullCheck.yaml,Results/Results_Blk0_RefitFullCheck.xlsx,B00-M-009,Not started,,,,
B00-M-010,0.0,Blk0_RefitFullCheck,HCPI,Headline Consumer Price Index,EM2,MAE,Point,Monthly,10,Oct 2020,Sep 2021,12,Oct 2014,Sep 2020,48,24,72,No,False,R1 COVID-19 shock,Point + quantile + weights,Code/Blk0_RefitFullCheck/Blk0_RefitFullCheck.py,Code/common/config_Blk0_RefitFullCheck.yaml,Results/Results_Blk0_RefitFullCheck.xlsx,B00-M-010,Not started,,,,
