date,value
2023-07-01,190.2
2023-08-01,190.1
2023-09-01,191.8
2023-10-01,191.4
2023-11-01,193.4
2023-12-01,195.1
2024-01-01,200.7
2024-02-01,200.6
2024-03-01,196.7
2024-04-01,195.2
2024-05-01,194.1
2024-06-01,195.6
2024-07-01,194.7
2024-08-01,191.1
2024-09-01,190.9
2024-10-01,189.9
2024-11-01,189.4
2024-12-01,191.7
2025-01-01,192.6
2025-02-01,192.2
2025-03-01,191.6
2025-04-01,191.2
2025-05-01,192.8
2025-06-01,194.5
2025-07-01,194.1
2025-08-01,193.3
2025-09-01,193.7
2025-10-01,193.8
2025-11-01,193.4
2025-12-01,195.8
2026-01-01,197.0
2026-02-01,195.3
2026-03-01,195.8
2026-04-01,201.6
2026-05-01,203.4
2026-06-01,207.7
2026-07-01,208.2
2026-08-01,208.8
