date,value
2023-07-01,170.4
2023-08-01,171.2
2023-09-01,172.0
2023-10-01,172.4
2023-11-01,172.4
2023-12-01,172.5
2024-01-01,176.2
2024-02-01,177.2
2024-03-01,177.3
2024-04-01,177.3
2024-05-01,177.0
2024-06-01,177.4
2024-07-01,177.9
2024-08-01,177.3
2024-09-01,177.6
2024-10-01,177.5
2024-11-01,177.1
2024-12-01,177.1
2025-01-01,178.4
2025-02-01,178.5
2025-03-01,178.6
2025-04-01,178.8
2025-05-01,179.2
2025-06-01,180.1
2025-07-01,180.8
2025-08-01,180.9
2025-09-01,181.2
2025-10-01,181.4
2025-11-01,181.3
2025-12-01,181.8
2026-01-01,182.5
2026-02-01,182.3
2026-03-01,183.0
2026-04-01,185.6
2026-05-01,186.1
2026-06-01,187.3
2026-07-01,188.8
