date,index,published_yoy_pct
2023-07-01,HCPI,6.3
2023-08-01,HCPI,4.0
2023-09-01,HCPI,1.3
2023-10-01,HCPI,1.5
2023-11-01,HCPI,3.4
2023-12-01,HCPI,4.0
2024-01-01,HCPI,6.4
2024-02-01,HCPI,5.9
2024-03-01,HCPI,0.9
2024-04-01,HCPI,1.5
2024-05-01,HCPI,0.9
2024-06-01,HCPI,1.7
2024-07-01,HCPI,2.4
2024-08-01,HCPI,0.5
2024-09-01,HCPI,-0.5
2024-10-01,HCPI,-0.8
2024-11-01,HCPI,-2.1
2024-12-01,HCPI,-1.7
2025-01-01,HCPI,-4.0
2025-02-01,HCPI,-4.2
2025-03-01,HCPI,-2.6
2025-04-01,HCPI,-2.0
2025-05-01,HCPI,-0.7
2025-06-01,HCPI,-0.6
2025-07-01,HCPI,-0.3
2025-08-01,HCPI,1.2
2025-09-01,HCPI,1.5
2025-10-01,HCPI,2.1
2025-11-01,HCPI,2.1
2025-12-01,HCPI,2.1
2026-01-01,HCPI,2.3
2026-02-01,HCPI,1.6
2026-03-01,HCPI,2.2
2026-04-01,HCPI,5.4
2026-05-01,HCPI,5.5
2026-06-01,HCPI,6.8
2026-07-01,HCPI,7.3
2026-08-01,HCPI,8.0
2023-07-01,CCPI,5.9
2023-08-01,CCPI,4.6
2023-09-01,CCPI,1.9
2023-10-01,CCPI,1.2
2023-11-01,CCPI,0.8
2023-12-01,CCPI,0.6
2024-01-01,CCPI,2.2
2024-02-01,CCPI,2.8
2024-03-01,CCPI,3.1
2024-04-01,CCPI,3.4
2024-05-01,CCPI,3.5
2024-06-01,CCPI,4.4
2024-07-01,CCPI,4.4
2024-08-01,CCPI,3.6
2024-09-01,CCPI,3.3
2024-10-01,CCPI,3.0
2024-11-01,CCPI,2.7
2024-12-01,CCPI,2.7
2025-01-01,CCPI,1.2
2025-02-01,CCPI,0.7
2025-03-01,CCPI,0.7
2025-04-01,CCPI,0.8
2025-05-01,CCPI,1.2
2025-06-01,CCPI,1.5
2025-07-01,CCPI,1.6
2025-08-01,CCPI,2.0
2025-09-01,CCPI,2.0
2025-10-01,CCPI,2.2
2025-11-01,CCPI,2.4
2025-12-01,CCPI,2.7
2026-01-01,CCPI,2.3
2026-02-01,CCPI,2.1
2026-03-01,CCPI,2.5
2026-04-01,CCPI,3.8
2026-05-01,CCPI,3.9
2026-06-01,CCPI,4.0
2026-07-01,CCPI,4.4
