date,value
2012-09-01,76.2401
2012-10-01,76.0097
2012-11-01,76.9771
2012-12-01,77.6681
2013-01-01,78.313
2013-02-01,78.6355
2013-03-01,78.6816
2013-04-01,78.313
2013-05-01,80.1096
2013-06-01,81.3074
2013-07-01,81.4456
2013-08-01,81.1692
2013-09-01,80.9849
2013-10-01,81.1231
2013-11-01,81.3074
2013-12-01,81.3074
2014-01-01,81.7681
2014-02-01,81.7681
2014-03-01,81.7681
2014-04-01,81.925
2014-05-01,82.2389
2014-06-01,82.9451
2014-07-01,83.5729
2014-08-01,83.416
2014-09-01,83.259
2014-10-01,82.1604
2014-11-01,82.0819
2014-12-01,82.3958
2015-01-01,84.9069
2015-02-01,83.3375
2015-03-01,83.0236
2015-04-01,83.1021
2015-05-01,83.4944
2015-06-01,84.2007
2015-07-01,84.5146
2015-08-01,84.2792
2015-09-01,84.2007
2015-10-01,84.5146
2015-11-01,85.6917
2015-12-01,86.1625
2016-01-01,86.3194
2016-02-01,85.7701
2016-03-01,85.2208
2016-04-01,85.9271
2016-05-01,87.4965
2016-06-01,88.8306
2016-07-01,89.3799
2016-08-01,87.9674
2016-09-01,87.7319
2016-10-01,87.9674
2016-11-01,89.1444
2016-12-01,90.0076
2017-01-01,91.1062
2017-02-01,91.5771
2017-03-01,91.4201
2017-04-01,91.891
2017-05-01,92.7542
2017-06-01,94.2451
2017-07-01,93.6958
2017-08-01,93.225
2017-09-01,93.9312
2017-10-01,94.7944
2017-11-01,95.8931
2017-12-01,96.4424
2018-01-01,96.3639
2018-02-01,95.6576
2018-03-01,95.2653
2018-04-01,95.3438
2018-05-01,96.4424
2018-06-01,98.4042
2018-07-01,98.7181
2018-08-01,98.7181
2018-09-01,98.0118
2018-10-01,97.7764
2018-11-01,99.0319
2018-12-01,99.1104
2019-01-01,99.9736
2019-02-01,99.5028
2019-03-01,99.3458
2019-04-01,99.6597
2019-05-01,101.229
2019-06-01,102.171
2019-07-01,102.014
2019-08-01,102.092
2019-09-01,102.877
2019-10-01,103.034
2019-11-01,103.348
2019-12-01,103.897
2020-01-01,105.624
2020-02-01,105.624
2020-03-01,104.682
2020-04-01,104.839
2020-05-01,105.31
2020-06-01,106.173
2020-07-01,106.251
2020-08-01,106.251
2020-09-01,106.958
2020-10-01,107.115
2020-11-01,107.585
2020-12-01,108.292
2021-01-01,108.841
2021-02-01,109.155
2021-03-01,108.998
2021-04-01,108.919
2021-05-01,110.097
2021-06-01,111.744
2021-07-01,112.294
2021-08-01,112.608
2021-09-01,113.079
2021-10-01,115.276
2021-11-01,118.258
2021-12-01,121.397
2022-01-01,124.3
2022-02-01,125.8
2022-03-01,129.7
2022-04-01,142.1
2022-05-01,153.6
2022-06-01,171.7
2022-07-01,178.9
2022-08-01,182.8
2022-09-01,189.3
2022-10-01,188.5
2022-11-01,187.1
2022-12-01,187.6
2023-01-01,188.6
2023-02-01,189.5
2023-03-01,195
2023-04-01,192.3
2023-05-01,192.3
2023-06-01,192.3
2023-07-01,190.2
2023-08-01,190.1
2023-09-01,191.8
2023-10-01,191.4
2023-11-01,193.4
2023-12-01,195.1
2024-01-01,200.7
2024-02-01,200.6
2024-03-01,196.7
2024-04-01,195.2
2024-05-01,194.1
2024-06-01,195.6
2024-07-01,194.7
2024-08-01,191.1
2024-09-01,190.9
2024-10-01,189.9
2024-11-01,189.4
2024-12-01,191.7
2025-01-01,192.6
2025-02-01,192.2
2025-03-01,191.6
2025-04-01,191.2
2025-05-01,192.8
2025-06-01,194.5
2025-07-01,194.1
2025-08-01,193.3
2025-09-01,193.7
2025-10-01,193.8
2025-11-01,193.4
2025-12-01,195.8
2026-01-01,197
2026-02-01,195.3
2026-03-01,195.8
2026-04-01,201.6
2026-05-01,203.4
2026-06-01,207.7
2026-07-01,208.2
2026-08-01,208.8
