date,value
2014-01-01,80.7514
2014-02-01,80.3488
2014-03-01,80.5903
2014-04-01,81.959
2014-05-01,83.4887
2014-06-01,85.8235
2014-07-01,87.1921
2014-08-01,85.5014
2014-09-01,85.5014
2014-10-01,85.743
2014-11-01,87.9167
2014-12-01,91.4592
2015-01-01,95.6457
2015-02-01,89.7685
2015-03-01,87.2727
2015-04-01,85.4209
2015-05-01,87.2727
2015-06-01,89.0439
2015-07-01,88.3193
2015-08-01,86.8701
2015-09-01,86.4676
2015-10-01,87.6752
2015-11-01,91.9422
2015-12-01,93.7939
2016-01-01,91.6202
2016-02-01,89.2049
2016-03-01,87.6752
2016-04-01,89.6074
2016-05-01,91.4592
2016-06-01,95.8067
2016-07-01,94.277
2016-08-01,90.493
2016-09-01,90.6541
2016-10-01,92.2643
2016-11-01,93.3109
2016-12-01,95.9677
2017-01-01,97.6584
2017-02-01,98.3025
2017-03-01,97.4974
2017-04-01,100.154
2017-05-01,101.12
2017-06-01,104.019
2017-07-01,102.006
2017-08-01,101.442
2017-09-01,103.214
2017-10-01,105.79
2017-11-01,107.964
2017-12-01,108.205
2018-01-01,106.434
2018-02-01,101.925
2018-03-01,100.074
2018-04-01,99.8322
2018-05-01,101.12
2018-06-01,104.582
2018-07-01,104.421
2018-08-01,101.442
2018-09-01,98.8661
2018-10-01,98.7856
2018-11-01,103.777
2018-12-01,103.375
2019-01-01,101.281
2019-02-01,98.9466
2019-03-01,97.7389
2019-04-01,98.6245
2019-05-01,100.718
2019-06-01,101.523
2019-07-01,101.845
2019-08-01,102.087
2019-09-01,103.697
2019-10-01,106.031
2019-11-01,107.964
2019-12-01,112.311
2020-01-01,115.129
2020-02-01,115.049
2020-03-01,111.506
2020-04-01,110.701
2020-05-01,111.909
2020-06-01,115.29
2020-07-01,114.968
2020-08-01,115.532
2020-09-01,116.82
2020-10-01,117.222
2020-11-01,118.108
2020-12-01,120.684
2021-01-01,121.892
2021-02-01,123.019
2021-03-01,121.328
2021-04-01,121.409
2021-05-01,123.422
2021-06-01,126.642
2021-07-01,127.608
2021-08-01,128.333
2021-09-01,128.494
2021-10-01,130.909
2021-11-01,138.074
2021-12-01,146.608
2022-01-01,151.6
2022-02-01,153.1
2022-03-01,156.9
2022-04-01,176.1
2022-05-01,195.3
2022-06-01,222.8
2022-07-01,233.4
2022-08-01,237.5
2022-09-01,239.1
2022-10-01,236.5
2022-11-01,233.2
2022-12-01,232.4
2023-01-01,232.8
2023-02-01,228.1
2023-03-01,223.2
2023-04-01,223.8
2023-05-01,226.1
2023-06-01,228.4
2023-07-01,227.5
2023-08-01,224.6
2023-09-01,226.7
2023-10-01,224.1
2023-11-01,228.1
2023-12-01,236.2
2024-01-01,242.4
2024-02-01,239.5
2024-03-01,234.4
2024-04-01,231.1
2024-05-01,227.3
2024-06-01,232.8
2024-07-01,234
2024-08-01,229.7
2024-09-01,227.9
2024-10-01,227.1
2024-11-01,228
2024-12-01,233.9
2025-01-01,236.3
2025-02-01,236.8
2025-03-01,236.2
2025-04-01,237.8
2025-05-01,240.6
2025-06-01,242.5
2025-07-01,239.2
2025-08-01,236.3
2025-09-01,236.6
2025-10-01,236.4
2025-11-01,236.1
2025-12-01,244.3
2026-01-01,244.3
2026-02-01,239.4
2026-03-01,237.9
2026-04-01,240.4
2026-05-01,244.3
2026-06-01,250.5
2026-07-01,250.9
2026-08-01,251.9
