date,value
2014-01-01,81.7968
2014-02-01,81.7175
2014-03-01,81.8761
2014-04-01,82.5902
2014-05-01,83.2249
2014-06-01,84.2563
2014-07-01,84.891
2014-08-01,84.4149
2014-09-01,84.4149
2014-10-01,84.0976
2014-11-01,84.8116
2014-12-01,86.1604
2015-01-01,89.4925
2015-02-01,86.3984
2015-03-01,85.367
2015-04-01,84.891
2015-05-01,85.6843
2015-06-01,86.557
2015-07-01,86.3984
2015-08-01,86.0017
2015-09-01,86.0017
2015-10-01,86.6364
2015-11-01,88.8578
2015-12-01,89.8099
2016-01-01,88.8578
2016-02-01,87.9058
2016-03-01,87.2711
2016-04-01,88.5405
2016-05-01,90.2066
2016-06-01,92.1107
2016-07-01,91.3966
2016-08-01,89.8892
2016-09-01,90.0479
2016-10-01,90.9999
2016-11-01,92.5073
2016-12-01,93.6181
2017-01-01,94.6495
2017-02-01,95.1255
2017-03-01,94.8081
2017-04-01,95.9982
2017-05-01,96.6329
2017-06-01,97.9023
2017-07-01,97.1089
2017-08-01,97.0296
2017-09-01,97.823
2017-10-01,99.013
2017-11-01,100.282
2017-12-01,100.441
2018-01-01,99.8064
2018-02-01,98.1403
2018-03-01,97.4263
2018-04-01,97.5056
2018-05-01,98.6163
2018-06-01,100.362
2018-07-01,100.441
2018-08-01,99.489
2018-09-01,98.6957
2018-10-01,99.0923
2018-11-01,101.314
2018-12-01,100.838
2019-01-01,100.996
2019-02-01,100.52
2019-03-01,100.282
2019-04-01,100.996
2019-05-01,102.107
2019-06-01,102.504
2019-07-01,102.662
2019-08-01,102.9
2019-09-01,103.615
2019-10-01,104.646
2019-11-01,105.439
2019-12-01,107.105
2020-01-01,108.692
2020-02-01,108.692
2020-03-01,107.264
2020-04-01,106.947
2020-05-01,107.423
2020-06-01,108.93
2020-07-01,108.93
2020-08-01,109.327
2020-09-01,110.2
2020-10-01,110.358
2020-11-01,110.914
2020-12-01,112.024
2021-01-01,112.738
2021-02-01,113.294
2021-03-01,112.738
2021-04-01,112.818
2021-05-01,113.928
2021-06-01,115.594
2021-07-01,116.309
2021-08-01,116.705
2021-09-01,117.023
2021-10-01,119.482
2021-11-01,123.211
2021-12-01,127.733
2022-01-01,131.7
2022-02-01,132.9
2022-03-01,137.3
2022-04-01,151.7
2022-05-01,166.3
2022-06-01,183.5
2022-07-01,193.1
2022-08-01,197.7
2022-09-01,201.9
2022-10-01,201.6
2022-11-01,200.3
2022-12-01,200.4
2023-01-01,201.8
2023-02-01,204.1
2023-03-01,204.8
2023-04-01,202.7
2023-05-01,203.1
2023-06-01,203.3
2023-07-01,201.9
2023-08-01,201.9
2023-09-01,203.5
2023-10-01,203.6
2023-11-01,206
2023-12-01,208.8
2024-01-01,215
2024-02-01,214.5
2024-03-01,210
2024-04-01,208.2
2024-05-01,206.3
2024-06-01,208.1
2024-07-01,206.9
2024-08-01,204.1
2024-09-01,203.1
2024-10-01,202.1
2024-11-01,202.4
2024-12-01,204.6
2025-01-01,206.4
2025-02-01,206.2
2025-03-01,206
2025-04-01,206.5
2025-05-01,207.5
2025-06-01,208.7
2025-07-01,208.3
2025-08-01,207.2
2025-09-01,207.4
2025-10-01,207.5
2025-11-01,207.2
2025-12-01,210.5
2026-01-01,211.4
2026-02-01,209.4
2026-03-01,210.9
2026-04-01,216.3
2026-05-01,218.8
2026-06-01,222.3
2026-07-01,223.4
2026-08-01,223.9
