date,value
2022-01-01,124.3
2022-02-01,125.8
2022-03-01,129.7
2022-04-01,142.1
2022-05-01,153.6
2022-06-01,171.7
2022-07-01,178.9
2022-08-01,182.8
2022-09-01,189.3
2022-10-01,188.5
2022-11-01,187.1
2022-12-01,187.6
2023-01-01,188.6
2023-02-01,189.5
2023-03-01,195
2023-04-01,192.3
2023-05-01,192.3
2023-06-01,192.3
2023-07-01,190.2
2023-08-01,190.1
2023-09-01,191.8
2023-10-01,191.4
2023-11-01,193.4
2023-12-01,195.1
2024-01-01,200.7
2024-02-01,200.6
2024-03-01,196.7
2024-04-01,195.2
2024-05-01,194.1
2024-06-01,195.6
2024-07-01,194.7
2024-08-01,191.1
2024-09-01,190.9
2024-10-01,189.9
2024-11-01,189.4
2024-12-01,191.7
2025-01-01,192.6
2025-02-01,192.2
2025-03-01,191.6
2025-04-01,191.2
2025-05-01,192.8
2025-06-01,194.5
2025-07-01,194.1
2025-08-01,193.3
2025-09-01,193.7
2025-10-01,193.8
2025-11-01,193.4
2025-12-01,195.8
2026-01-01,197
2026-02-01,195.3
2026-03-01,195.8
2026-04-01,201.6
2026-05-01,203.4
2026-06-01,207.7
2026-07-01,208.2
2026-08-01,208.8
