date,value
2014-01-01,100.3
2014-02-01,99.8
2014-03-01,100.1
2014-04-01,101.8
2014-05-01,103.7
2014-06-01,106.6
2014-07-01,108.3
2014-08-01,106.2
2014-09-01,106.2
2014-10-01,106.5
2014-11-01,109.2
2014-12-01,113.6
2015-01-01,118.8
2015-02-01,111.5
2015-03-01,108.4
2015-04-01,106.1
2015-05-01,108.4
2015-06-01,110.6
2015-07-01,109.7
2015-08-01,107.9
2015-09-01,107.4
2015-10-01,108.9
2015-11-01,114.2
2015-12-01,116.5
2016-01-01,113.8
2016-02-01,110.8
2016-03-01,108.9
2016-04-01,111.3
2016-05-01,113.6
2016-06-01,119
2016-07-01,117.1
2016-08-01,112.4
2016-09-01,112.6
2016-10-01,114.6
2016-11-01,115.9
2016-12-01,119.2
2017-01-01,121.3
2017-02-01,122.1
2017-03-01,121.1
2017-04-01,124.4
2017-05-01,125.6
2017-06-01,129.2
2017-07-01,126.7
2017-08-01,126
2017-09-01,128.2
2017-10-01,131.4
2017-11-01,134.1
2017-12-01,134.4
2018-01-01,132.2
2018-02-01,126.6
2018-03-01,124.3
2018-04-01,124
2018-05-01,125.6
2018-06-01,129.9
2018-07-01,129.7
2018-08-01,126
2018-09-01,122.8
2018-10-01,122.7
2018-11-01,128.9
2018-12-01,128.4
2019-01-01,125.8
2019-02-01,122.9
2019-03-01,121.4
2019-04-01,122.5
2019-05-01,125.1
2019-06-01,126.1
2019-07-01,126.5
2019-08-01,126.8
2019-09-01,128.8
2019-10-01,131.7
2019-11-01,134.1
2019-12-01,139.5
2020-01-01,143
2020-02-01,142.9
2020-03-01,138.5
2020-04-01,137.5
2020-05-01,139
2020-06-01,143.2
2020-07-01,142.8
2020-08-01,143.5
2020-09-01,145.1
2020-10-01,145.6
2020-11-01,146.7
2020-12-01,149.9
2021-01-01,151.4
2021-02-01,152.8
2021-03-01,150.7
2021-04-01,150.8
2021-05-01,153.3
2021-06-01,157.3
2021-07-01,158.5
2021-08-01,159.4
2021-09-01,159.6
2021-10-01,162.6
2021-11-01,171.5
2021-12-01,182.1
2022-01-01,188.3
2022-02-01,190.6
2022-03-01,195.2
2022-04-01,218.8
2022-05-01,242.2
2022-06-01,276.6
2022-07-01,289.3
2022-08-01,294.3
2022-09-01,296.5
2022-10-01,294.1
2022-11-01,291.2
2022-12-01,290
