date,value
2022-01-01,131.7
2022-02-01,132.9
2022-03-01,137.3
2022-04-01,151.7
2022-05-01,166.3
2022-06-01,183.5
2022-07-01,193.1
2022-08-01,197.7
2022-09-01,201.9
2022-10-01,201.6
2022-11-01,200.3
2022-12-01,200.4
2023-01-01,201.8
2023-02-01,204.1
2023-03-01,204.8
2023-04-01,202.7
2023-05-01,203.1
2023-06-01,203.3
2023-07-01,201.9
2023-08-01,201.9
2023-09-01,203.5
2023-10-01,203.6
2023-11-01,206
2023-12-01,208.8
2024-01-01,215
2024-02-01,214.5
2024-03-01,210
2024-04-01,208.2
2024-05-01,206.3
2024-06-01,208.1
2024-07-01,206.9
2024-08-01,204.1
2024-09-01,203.1
2024-10-01,202.1
2024-11-01,202.4
2024-12-01,204.6
2025-01-01,206.4
2025-02-01,206.2
2025-03-01,206
2025-04-01,206.5
2025-05-01,207.5
2025-06-01,208.7
2025-07-01,208.3
2025-08-01,207.2
2025-09-01,207.4
2025-10-01,207.5
2025-11-01,207.2
2025-12-01,210.5
2026-01-01,211.4
2026-02-01,209.4
2026-03-01,210.9
2026-04-01,216.3
2026-05-01,218.8
2026-06-01,222.3
2026-07-01,223.4
2026-08-01,223.9
