date,value
2022-01-01,118.9
2022-02-01,119.8
2022-03-01,124.6
2022-04-01,136
2022-05-01,147.6
2022-06-01,158.2
2022-07-01,167.1
2022-08-01,171.9
2022-09-01,178
2022-10-01,179.1
2022-11-01,179.1
2022-12-01,179.8
2023-01-01,181.8
2023-02-01,188.6
2023-03-01,193
2023-04-01,189.1
2023-05-01,188.3
2023-06-01,187.1
2023-07-01,185.3
2023-08-01,187.3
2023-09-01,188.5
2023-10-01,190.4
2023-11-01,191.8
2023-12-01,191.2
2024-01-01,197.3
2024-02-01,198.3
2024-03-01,194.3
2024-04-01,193.4
2024-05-01,192.8
2024-06-01,192.1
2024-07-01,189.4
2024-08-01,187.6
2024-09-01,187.1
2024-10-01,186
2024-11-01,185.9
2024-12-01,185.7
2025-01-01,187.1
2025-02-01,186.5
2025-03-01,186.4
2025-04-01,186.3
2025-05-01,186.2
2025-06-01,186.8
2025-07-01,188.3
2025-08-01,188.4
2025-09-01,188.5
2025-10-01,188.8
2025-11-01,188.6
2025-12-01,188.7
2026-01-01,190.1
2026-02-01,190.1
2026-03-01,193.5
2026-04-01,200.8
2026-05-01,202.3
2026-06-01,204.1
2026-07-01,205.6
2026-08-01,205.9
