date,frequency,index,value,unit,yoy_pct,source,derivation,flag
2012-09-01,monthly,CCPI,76.2401,index_level,,dcs,published,CHAIN_LINKED_200607_BASE;NO_YOY_SOURCE_LAG
2012-10-01,monthly,CCPI,76.0097,index_level,,dcs,published,CHAIN_LINKED_200607_BASE;NO_YOY_SOURCE_LAG
2012-11-01,monthly,CCPI,76.9771,index_level,,dcs,published,CHAIN_LINKED_200607_BASE;NO_YOY_SOURCE_LAG
2012-12-01,monthly,CCPI,77.6681,index_level,,dcs,published,CHAIN_LINKED_200607_BASE;NO_YOY_SOURCE_LAG
2013-01-01,monthly,CCPI,78.313,index_level,,dcs,published,CHAIN_LINKED_200607_BASE;NO_YOY_SOURCE_LAG
2013-02-01,monthly,CCPI,78.6355,index_level,,dcs,published,CHAIN_LINKED_200607_BASE;NO_YOY_SOURCE_LAG
2013-03-01,monthly,CCPI,78.6816,index_level,,dcs,published,CHAIN_LINKED_200607_BASE;NO_YOY_SOURCE_LAG
2013-04-01,monthly,CCPI,78.313,index_level,,dcs,published,CHAIN_LINKED_200607_BASE;NO_YOY_SOURCE_LAG
2013-05-01,monthly,CCPI,80.1096,index_level,,dcs,published,CHAIN_LINKED_200607_BASE;NO_YOY_SOURCE_LAG
2013-06-01,monthly,CCPI,81.3074,index_level,,dcs,published,CHAIN_LINKED_200607_BASE;NO_YOY_SOURCE_LAG
2013-07-01,monthly,CCPI,81.4456,index_level,,dcs,published,CHAIN_LINKED_200607_BASE;NO_YOY_SOURCE_LAG
2013-08-01,monthly,CCPI,81.1692,index_level,,dcs,published,CHAIN_LINKED_200607_BASE;NO_YOY_SOURCE_LAG
2013-09-01,monthly,CCPI,80.9849,index_level,6.2235,dcs,published,CHAIN_LINKED_200607_BASE
2013-10-01,monthly,CCPI,81.1231,index_level,6.7273,dcs,published,CHAIN_LINKED_200607_BASE
2013-11-01,monthly,CCPI,81.3074,index_level,5.6254,dcs,published,CHAIN_LINKED_200607_BASE
2013-12-01,monthly,CCPI,81.3074,index_level,4.6857,dcs,published,CHAIN_LINKED_200607_BASE;REPEATED_VALUE
2014-01-01,monthly,CCPI,81.7681,index_level,4.4119,dcs,published,CHAIN_LINKED_2013_BASE
2014-02-01,monthly,CCPI,81.7681,index_level,3.9837,dcs,published,CHAIN_LINKED_2013_BASE;REPEATED_VALUE
2014-03-01,monthly,CCPI,81.7681,index_level,3.9228,dcs,published,CHAIN_LINKED_2013_BASE;REPEATED_VALUE
