date,value
2014-01-01,81.8
2014-02-01,82.1
2014-03-01,82.5
2014-04-01,82.6
2014-05-01,82.4
2014-06-01,82.5
2014-07-01,82.9
2014-08-01,83.5
2014-09-01,83.6
2014-10-01,84.0
2014-11-01,83.6
2014-12-01,83.8
2015-01-01,86.4
2015-02-01,85.3
2015-03-01,85.4
2015-04-01,85.6
2015-05-01,85.6
2015-06-01,86.0
2015-07-01,86.5
2015-08-01,87.1
2015-09-01,87.8
2015-10-01,88.0
2015-11-01,88.4
2015-12-01,88.7
2016-01-01,89.0
2016-02-01,89.3
2016-03-01,89.7
2016-04-01,90.6
2016-05-01,91.8
2016-06-01,92.3
2016-07-01,92.5
2016-08-01,92.4
2016-09-01,92.6
2016-10-01,93.0
2016-11-01,94.6
2016-12-01,94.6
2017-01-01,95.1
2017-02-01,95.6
2017-03-01,96.0
2017-04-01,96.0
2017-05-01,96.1
2017-06-01,96.3
2017-07-01,96.4
2017-08-01,96.7
2017-09-01,96.8
2017-10-01,96.9
2017-11-01,97.2
2017-12-01,97.3
2018-01-01,97.2
2018-02-01,97.6
2018-03-01,97.8
2018-04-01,97.8
2018-05-01,97.8
2018-06-01,98.0
2018-07-01,98.5
2018-08-01,99.1
2018-09-01,99.6
2018-10-01,100.0
2018-11-01,100.2
2018-12-01,100.5
2019-01-01,102.2
2019-02-01,103.2
2019-03-01,103.6
2019-04-01,104.0
2019-05-01,104.1
2019-06-01,104.0
2019-07-01,104.3
2019-08-01,104.5
2019-09-01,104.8
2019-10-01,105.2
2019-11-01,105.6
2019-12-01,105.8
2020-01-01,106.5
2020-02-01,107.2
2020-03-01,107.5
2020-04-01,107.8
2020-05-01,108.0
2020-06-01,108.4
2020-07-01,108.5
2020-08-01,108.9
2020-09-01,109.5
2020-10-01,109.6
2020-11-01,110.2
2020-12-01,110.9
2021-01-01,111.3
2021-02-01,112.1
2021-03-01,112.6
2021-04-01,112.7
2021-05-01,112.6
2021-06-01,112.5
2021-07-01,112.8
2021-08-01,113.5
2021-09-01,114.4
2021-10-01,117.3
2021-11-01,120.0
2021-12-01,123.2
2022-01-01,125.8
2022-02-01,127.9
2022-03-01,132.5
2022-04-01,144.4
2022-05-01,154.6
2022-06-01,166.0
2022-07-01,174.3
2022-08-01,178.5
2022-09-01,183.6
2022-10-01,186.4
2022-11-01,188.0
2022-12-01,189.9
2023-01-01,191.1
2023-02-01,192.0
2023-03-01,191.2
2023-04-01,190.4
2023-05-01,188.2
2023-06-01,184.9
2023-07-01,185.3
2023-08-01,185.6
2023-09-01,186.5
2023-10-01,187.7
2023-11-01,189.6
2023-12-01,191.7
2024-01-01,195.0
2024-02-01,197.2
2024-03-01,197.5
2024-04-01,196.1
2024-05-01,194.2
2024-06-01,192.2
2024-07-01,191.0
2024-08-01,189.8
2024-09-01,189.8
2024-10-01,190.9
2024-11-01,192.6
2024-12-01,194.1
2025-01-01,194.5
2025-02-01,195.9
2025-03-01,196.3
