date,value
2014-01-01,79.1
2014-02-01,80.4
2014-03-01,82.3
2014-04-01,83.2
2014-05-01,84.0
2014-06-01,84.3
2014-07-01,86.3
2014-08-01,87.0
2014-09-01,87.3
2014-10-01,86.7
2014-11-01,86.8
2014-12-01,88.9
2015-01-01,93.6
2015-02-01,89.9
2015-03-01,89.2
2015-04-01,86.7
2015-05-01,87.8
2015-06-01,87.4
2015-07-01,87.5
2015-08-01,88.4
2015-09-01,88.3
2015-10-01,88.7
2015-11-01,90.7
2015-12-01,91.1
2016-01-01,89.7
2016-02-01,89.4
2016-03-01,89.6
2016-04-01,91.0
2016-05-01,92.1
2016-06-01,94.0
2016-07-01,93.6
2016-08-01,92.0
2016-09-01,92.5
2016-10-01,93.1
2016-11-01,92.1
2016-12-01,93.2
2017-01-01,95.7
2017-02-01,98.6
2017-03-01,99.7
2017-04-01,101.9
2017-05-01,101.8
2017-06-01,102.1
2017-07-01,101.2
2017-08-01,102.8
2017-09-01,105.0
2017-10-01,106.3
2017-11-01,106.9
2017-12-01,105.3
2018-01-01,104.3
2018-02-01,102.3
2018-03-01,102.4
2018-04-01,101.7
2018-05-01,101.9
2018-06-01,102.7
2018-07-01,103.7
2018-08-01,102.4
2018-09-01,100.2
2018-10-01,99.1
2018-11-01,103.0
2018-12-01,100.9
2019-01-01,99.4
2019-02-01,99.4
2019-03-01,100.0
2019-04-01,100.7
2019-05-01,101.5
2019-06-01,99.7
2019-07-01,100.8
2019-08-01,102.4
2019-09-01,104.5
2019-10-01,106.3
2019-11-01,107.6
2019-12-01,110.0
2020-01-01,113.3
2020-02-01,115.7
2020-03-01,114.3
2020-04-01,113.4
2020-05-01,112.8
2020-06-01,113.2
2020-07-01,113.4
2020-08-01,115.0
2020-09-01,117.0
2020-10-01,117.6
2020-11-01,118.1
2020-12-01,118.7
2021-01-01,120.3
2021-02-01,124.0
2021-03-01,124.7
2021-04-01,124.6
2021-05-01,124.6
2021-06-01,124.2
2021-07-01,125.0
2021-08-01,126.8
2021-09-01,128.0
2021-10-01,131.4
2021-11-01,138.7
2021-12-01,145.0
2022-01-01,150.1
2022-02-01,154.5
2022-03-01,161.6
2022-04-01,180.9
2022-05-01,197.3
2022-06-01,218.5
2022-07-01,227.6
2022-08-01,233.7
2022-09-01,237.1
2022-10-01,237.6
2022-11-01,234.8
2022-12-01,230.7
2023-01-01,231.0
2023-02-01,230.4
2023-03-01,230.2
2023-04-01,230.0
2023-05-01,228.7
2023-06-01,223.8
2023-07-01,220.9
2023-08-01,220.2
2023-09-01,224.3
2023-10-01,225.2
2023-11-01,230.0
2023-12-01,235.0
2024-01-01,240.9
2024-02-01,242.2
2024-03-01,242.0
2024-04-01,237.5
2024-05-01,229.9
2024-06-01,228.0
2024-07-01,226.8
2024-08-01,224.9
2024-09-01,225.2
2024-10-01,228.3
2024-11-01,230.2
2024-12-01,233.0
2025-01-01,235.1
2025-02-01,239.6
2025-03-01,244.0
