var,em,origin,MAE,RMSE,WAPE_pct,bias_pct,MAE_yoy,RMSE_yoy,bias_yoy,w80_pct,cov80,w60_pct,cov60,w20_pct,cov20,IS80,IS60,pinball_pct,level
CCPI,EM10,2025-04-01,3.67785,3.88566,1.8936,-1.8936,1.91123,2.01871,-1.91123,10.9129,1.0,7.40311,1.0,2.2254,0.16667,10.9129,7.40311,0.78865,194.225
CCPI,EM10,2025-05-01,4.11098,4.66349,2.1072,-2.1072,2.14071,2.4307,-2.14071,9.30055,1.0,6.21301,0.91667,1.87075,0.0,9.30055,6.62279,0.77288,195.09167
CCPI,EM10,2025-06-01,6.06936,6.86386,3.09701,-3.09701,3.16074,3.57337,-3.16074,7.23828,0.66667,4.1118,0.08333,1.12546,0.0,9.78035,9.55988,1.12212,195.975
CCPI,EM10,2025-07-01,4.5362,6.03648,2.30176,-2.30176,2.35529,3.12471,-2.35529,9.15929,0.91667,5.62685,0.75,1.61413,0.08333,9.27514,7.69558,0.8868,197.075
CCPI,EM10,2025-08-01,5.05298,6.664,2.54879,-2.54879,2.62003,3.44428,-2.62003,8.73046,0.83333,5.28136,0.66667,1.52561,0.16667,9.47506,8.73943,0.96279,198.25
CCPI,EM10,2025-09-01,4.92061,6.89463,2.46595,-2.44047,2.54701,3.56216,-2.52016,8.12667,0.75,4.99972,0.58333,1.44477,0.41667,10.41131,9.31543,0.98234,199.54167
CCPI,EM11,2025-04-01,3.67785,3.88566,1.8936,-1.8936,1.91123,2.01871,-1.91123,10.9129,1.0,7.40311,1.0,2.2254,0.16667,10.9129,7.40311,0.78865,194.225
CCPI,EM11,2025-05-01,4.10194,4.6573,2.10257,-2.10257,2.13603,2.42751,-2.13603,9.28416,1.0,6.1979,0.91667,1.86619,0.0,9.28416,6.61099,0.77057,195.09167
CCPI,EM11,2025-06-01,6.05952,6.85389,3.09199,-3.09199,3.15561,3.56817,-3.15561,7.23718,0.66667,4.11165,0.08333,1.12553,0.0,9.76353,9.53692,1.12003,195.975
CCPI,EM11,2025-07-01,4.5599,6.06721,2.31379,-2.31379,2.36757,3.14053,-2.36757,8.99706,0.91667,5.45957,0.75,1.55278,0.08333,9.20219,7.68067,0.8807,197.075
CCPI,EM11,2025-08-01,4.72403,6.46413,2.38286,-2.38286,2.44823,3.33976,-2.44823,8.63584,0.83333,5.17966,0.66667,1.48654,0.16667,9.27873,8.506,0.92348,198.25
CCPI,EM11,2025-09-01,4.95529,6.92772,2.48334,-2.4603,2.56501,3.5793,-2.54074,8.11201,0.75,4.98428,0.58333,1.43897,0.41667,10.47444,9.3671,0.98751,199.54167
