em,metric,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12,AVG
EM2,MAE,83,50,33,17,0,33,33,17,33,17,17,0,28
EM3,RMSE,67,33,50,50,17,17,17,17,17,17,33,17,29
EM4,MAPE,83,50,33,17,0,33,33,17,33,17,17,0,28
EM5,SMAPE,83,50,50,17,0,33,33,17,33,17,17,0,29
EM6,MASE,83,50,33,17,0,33,33,17,33,17,17,0,28
EM7,RMSSE,67,50,50,50,17,17,17,33,17,17,33,17,32
EM8,WAPE,83,50,50,17,0,33,33,17,33,17,17,0,29
EM9,WQL,67,50,33,17,33,67,50,50,50,0,17,33,39
EM10,SQL,67,50,50,17,33,67,33,50,50,0,17,33,39
EM11,MQL,67,50,50,17,33,67,33,50,50,17,17,33,40
EM12,DTW,100,50,17,33,0,33,33,17,17,0,17,17,28
EM13,SoftDTW,83,50,33,33,17,33,33,33,33,33,33,17,36
EM14,Wasserstein,83,33,50,33,17,17,17,17,17,17,33,17,29
EM15,TDI,0,0,0,0,0,0,17,17,17,17,17,17,8
EM16,TDA,83,17,50,33,50,67,50,50,33,33,33,17,43
EM17,DA,50,17,33,33,17,33,17,0,0,0,17,0,18
EM18,TPA,50,33,33,17,33,33,67,33,33,17,33,17,33
