em,metric,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12,AVG
EM2,MAE,33,33,67,33,50,50,33,17,17,33,0,0,31
EM3,RMSE,17,33,17,33,67,33,33,50,33,50,17,17,33
EM4,MAPE,33,17,50,50,50,50,50,17,33,33,17,17,35
EM5,SMAPE,33,33,67,33,50,50,33,17,17,17,17,17,32
EM6,MASE,33,17,50,33,33,50,33,0,17,33,0,0,25
EM7,RMSSE,17,50,17,50,67,33,33,50,17,50,17,17,35
EM8,WAPE,50,33,67,33,50,50,33,17,17,33,0,0,32
EM9,WQL,67,50,50,67,100,100,67,33,50,17,0,0,50
EM10,SQL,67,50,67,67,83,83,67,33,50,17,0,0,49
EM11,MQL,67,50,50,67,100,100,67,33,50,17,0,0,50
EM12,DTW,83,67,50,67,67,67,67,50,50,33,17,0,51
EM13,SoftDTW,67,50,50,50,67,50,50,50,33,67,50,17,50
EM14,Wasserstein,17,17,17,33,67,33,33,50,17,50,33,33,33
EM15,TDI,67,50,33,17,0,0,0,0,0,0,0,0,14
EM16,TDA,67,83,83,33,33,33,17,0,17,0,0,0,31
EM17,DA,50,50,33,67,50,33,67,50,33,17,17,0,39
EM18,TPA,17,0,0,0,0,0,0,0,0,0,0,0,1
