em,metric,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12,AVG
EM2,MAE,33,33,33,50,33,50,50,17,0,0,0,0,25
EM3,RMSE,67,67,67,83,83,83,83,33,17,0,0,0,49
EM4,MAPE,33,33,33,50,50,67,50,33,17,0,0,0,31
EM5,SMAPE,17,33,33,50,50,50,50,33,0,0,0,0,26
EM6,MASE,17,17,17,33,33,33,50,17,0,0,0,0,18
EM7,RMSSE,67,67,50,83,83,83,83,33,17,0,0,0,47
EM8,WAPE,33,33,33,50,33,50,50,17,0,0,0,0,25
EM9,WQL,83,83,83,67,83,83,67,50,17,0,0,0,51
EM10,SQL,83,83,83,67,83,83,67,50,17,0,0,0,51
EM11,MQL,83,83,83,67,83,100,67,50,17,0,0,0,53
EM12,DTW,100,100,100,100,100,100,83,83,33,17,17,17,71
EM13,SoftDTW,100,83,100,100,100,100,83,67,33,0,0,0,64
EM14,Wasserstein,83,67,83,83,83,83,83,67,33,0,0,0,56
EM15,TDI,83,83,67,50,33,33,17,17,17,17,17,0,36
EM16,TDA,100,100,83,67,67,50,67,50,33,50,17,0,57
EM17,DA,50,33,33,33,33,17,33,33,0,0,17,0,24
EM18,TPA,17,17,0,0,17,0,0,17,33,33,50,50,19
