em,metric,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12,AVG
EM2,MAE,83,83,50,67,50,50,50,50,50,50,33,17,53
EM3,RMSE,100,67,67,83,50,50,33,33,33,50,33,50,54
EM4,MAPE,83,83,67,83,67,50,50,67,67,50,33,33,61
EM5,SMAPE,83,83,50,67,50,50,50,50,50,50,33,17,53
EM6,MASE,83,83,50,67,50,50,50,50,50,50,33,17,53
EM7,RMSSE,100,83,83,83,33,50,33,33,33,50,33,50,56
EM8,WAPE,83,83,50,67,50,50,50,50,50,50,33,17,53
EM9,WQL,100,83,67,67,67,83,83,83,67,50,67,50,72
EM10,SQL,100,83,67,67,67,83,83,83,67,50,67,67,74
EM11,MQL,100,83,67,67,67,83,83,83,67,50,67,83,75
EM12,DTW,100,83,83,83,33,33,50,33,17,33,17,17,49
EM13,SoftDTW,100,100,100,100,33,50,50,67,67,50,50,50,68
EM14,Wasserstein,100,83,83,83,33,50,33,33,33,50,33,50,56
EM15,TDI,0,0,0,0,0,17,33,50,67,67,67,50,29
EM16,TDA,100,100,67,83,67,67,67,50,33,50,67,50,67
EM17,DA,83,83,83,67,33,33,17,67,67,50,33,17,53
EM18,TPA,83,83,67,67,50,67,83,67,33,33,50,50,61
