var,em,hit10,hit5,hit2,hit1,n,worst_dev
CCPI,EM10,1.0,0.8611,0.5139,0.1944,72,0.0737
CCPI,EM11,1.0,0.8611,0.5278,0.2083,72,0.0741
CCPI,EM12,1.0,0.9167,0.7083,0.4306,72,0.0704
CCPI,EM13,1.0,0.9167,0.6389,0.3194,72,0.0723
CCPI,EM14,1.0,0.9028,0.5556,0.2083,72,0.079
CCPI,EM15,1.0,0.7917,0.3611,0.125,72,0.0802
CCPI,EM16,1.0,0.8472,0.5694,0.3194,72,0.0726
CCPI,EM17,0.8194,0.6667,0.2361,0.0556,72,0.24
CCPI,EM18,0.8333,0.6667,0.1944,0.0694,72,0.5361
CCPI,EM2,1.0,0.8472,0.25,0.0972,72,0.0858
CCPI,EM3,1.0,0.875,0.4861,0.1528,72,0.0815
CCPI,EM4,1.0,0.875,0.3056,0.125,72,0.0861
CCPI,EM5,1.0,0.8333,0.2639,0.1111,72,0.0846
CCPI,EM6,1.0,0.8333,0.1806,0.0833,72,0.0852
CCPI,EM7,1.0,0.8889,0.4722,0.1389,72,0.0812
CCPI,EM8,1.0,0.8611,0.25,0.0833,72,0.0858
CCPI,EM9,1.0,0.8611,0.5139,0.1944,72,0.0747
FCPI,EM10,1.0,1.0,0.7361,0.3889,72,0.0377
FCPI,EM11,1.0,1.0,0.75,0.4028,72,0.0372
FCPI,EM12,1.0,0.9306,0.4861,0.2778,72,0.0764
FCPI,EM13,0.9861,0.875,0.6806,0.3611,72,0.1006
FCPI,EM14,0.9722,0.8611,0.5556,0.2917,72,0.118
FCPI,EM15,1.0,0.9583,0.2917,0.0833,72,0.066
FCPI,EM16,0.9583,0.9028,0.6667,0.4306,72,0.138
FCPI,EM17,1.0,0.9444,0.5278,0.1806,72,0.0717
FCPI,EM18,0.8333,0.7917,0.6111,0.3333,72,0.6654
FCPI,EM2,1.0,0.9583,0.5278,0.2778,72,0.0851
FCPI,EM3,1.0,0.9028,0.5417,0.2917,72,0.0977
FCPI,EM4,1.0,0.9583,0.6111,0.2778,72,0.0851
FCPI,EM5,1.0,0.9583,0.5278,0.2917,72,0.0857
FCPI,EM6,1.0,0.9583,0.5278,0.2778,72,0.0851
FCPI,EM7,0.9861,0.9167,0.5556,0.3194,72,0.1013
FCPI,EM8,1.0,0.9583,0.5278,0.2917,72,0.0851
FCPI,EM9,1.0,1.0,0.7222,0.3889,72,0.0377
HCPI,EM10,1.0,0.9722,0.7361,0.4861,72,0.0535
HCPI,EM11,1.0,0.9722,0.75,0.5,72,0.0524
HCPI,EM12,1.0,0.9444,0.7917,0.5139,72,0.0605
HCPI,EM13,1.0,0.9722,0.6667,0.5,72,0.0607
HCPI,EM14,1.0,0.9583,0.6111,0.3333,72,0.0662
HCPI,EM15,1.0,0.8611,0.2917,0.1389,72,0.0806
HCPI,EM16,1.0,0.9028,0.5,0.3056,72,0.0796
HCPI,EM17,0.8333,0.7778,0.5833,0.3889,72,0.1995
HCPI,EM18,0.3333,0.1944,0.0139,0.0139,72,0.6202
HCPI,EM2,1.0,0.9306,0.5694,0.3056,72,0.0667
HCPI,EM3,1.0,0.9722,0.7083,0.3333,72,0.0673
HCPI,EM4,1.0,0.875,0.4861,0.3472,72,0.0713
HCPI,EM5,1.0,0.9306,0.5833,0.3194,72,0.0656
HCPI,EM6,1.0,0.9306,0.5278,0.25,72,0.0709
HCPI,EM7,1.0,0.9722,0.6944,0.3472,72,0.0684
HCPI,EM8,1.0,0.9306,0.5694,0.3194,72,0.0666
HCPI,EM9,1.0,0.9722,0.75,0.5,72,0.053
