em_code,objective,point_rank,point_rel_median,point_rel_HCPI,point_rel_FCPI,point_rel_CCPI,worst_cell_MAE,interval_rank,width80_pct,coverage80,coverage60,winkler80,pinball_pct,bias_pct_of_level,eff_models,collapsed_runs_of_18,runtime_s
EM9,WQL,6.03,0.853,0.785,0.851,0.945,6.06,3.81,9.48,0.949,0.829,9.8,0.753,-0.929,2.14,3,284.0
EM10,SQL,6.5,0.847,0.79,0.831,0.945,6.07,4.39,9.46,0.944,0.815,9.78,0.755,-0.893,2.11,3,285.0
EM11,MQL,5.92,0.842,0.787,0.844,0.944,6.06,3.69,9.43,0.954,0.829,9.75,0.748,-0.914,2.11,3,286.0
EM12,DTW,5.67,0.886,0.777,1.054,0.731,8.27,6.56,11.9,0.986,0.898,11.99,0.823,-0.429,3.23,0,264.0
EM13,SoftDTW,6.28,0.87,0.819,1.041,0.793,11.23,7.06,12.27,0.977,0.88,12.4,0.882,-0.058,2.93,0,277.0
EM2,MAE,10.28,1.015,1.034,1.0,1.179,9.11,8.83,13.27,0.986,0.889,13.29,0.971,-0.983,2.55,0,306.0
EM3,RMSE,8.97,1.0,1.0,1.151,0.984,10.65,10.25,14.26,0.986,0.907,14.31,1.0,-0.524,2.97,0,308.0
EM4,MAPE,9.56,1.014,1.082,1.0,1.187,11.46,9.67,13.0,0.954,0.875,13.73,0.992,-0.428,2.66,0,278.0
EM5,SMAPE,10.36,1.045,1.073,1.0,1.198,9.19,10.58,13.48,0.981,0.889,13.53,0.98,-0.908,2.66,0,282.0
EM6,MASE,10.56,1.029,1.086,1.0,1.226,9.11,8.72,13.25,0.981,0.889,13.27,0.977,-1.036,2.62,0,264.0
EM7,RMSSE,9.03,1.0,1.0,1.169,0.985,11.01,10.31,14.22,0.986,0.907,14.28,1.002,-0.548,2.94,0,265.0
EM8,WAPE,10.03,1.014,1.017,1.0,1.179,9.11,8.69,13.3,0.986,0.889,13.32,0.972,-0.981,2.51,0,264.0
EM14,Wasserstein,9.44,1.015,1.046,1.204,0.971,13.3,9.28,13.74,0.986,0.866,13.8,1.026,-0.174,2.79,1,285.0
EM16,TDA,8.5,1.0,1.296,0.949,0.922,15.76,11.11,19.78,0.977,0.912,19.98,1.227,-0.952,1.26,11,307.0
EM17,DA,10.89,1.135,0.874,1.36,1.446,52.97,11.0,16.55,0.81,0.731,30.93,2.105,2.686,1.85,4,265.0
EM15,TDI,11.44,1.318,1.423,2.068,0.922,8.33,16.22,32.13,1.0,1.0,32.13,1.748,-2.638,1.0,18,273.0
EM18,TPA,13.56,1.658,13.802,1.221,1.622,83.58,12.83,31.61,0.699,0.556,38.15,4.728,-10.53,1.0,18,285.0
