em,metric,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12,AVG
EM2,MAE,17,17,17,0,0,17,17,0,0,0,0,0,7
EM3,RMSE,17,17,17,0,17,17,17,0,0,0,0,0,8
EM4,MAPE,17,17,17,0,0,0,33,17,0,0,0,0,8
EM5,SMAPE,17,17,17,0,0,17,17,0,0,0,0,0,7
EM6,MASE,17,17,17,0,0,17,17,0,0,0,0,0,7
EM7,RMSSE,17,17,17,0,17,17,17,0,0,0,0,0,8
EM8,WAPE,17,17,17,0,0,17,17,0,0,0,0,0,7
EM9,WQL,17,17,17,0,0,17,0,0,0,0,0,0,6
EM10,SQL,17,17,17,0,0,17,0,0,0,0,0,0,6
EM11,MQL,17,17,17,17,0,17,0,0,0,0,0,0,7
EM12,DTW,67,50,33,33,0,17,17,17,0,0,0,0,19
EM13,SoftDTW,17,17,17,33,17,0,0,17,17,0,0,0,11
EM14,Wasserstein,17,33,33,17,17,17,0,0,0,0,0,0,11
EM15,TDI,17,17,17,17,0,0,0,0,0,0,0,0,6
EM16,TDA,17,0,67,33,0,17,17,17,17,0,0,0,15
EM17,DA,0,0,17,0,17,0,0,0,0,0,0,0,3
EM18,TPA,0,0,0,0,0,0,0,0,0,0,17,33,4
