em,metric,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12,AVG
EM2,MAE,50,33,0,17,0,17,33,17,33,0,17,0,18
EM3,RMSE,50,0,33,33,0,17,17,0,17,17,17,0,17
EM4,MAPE,50,33,0,17,0,17,33,17,33,0,17,0,18
EM5,SMAPE,50,33,0,17,0,17,33,17,33,0,17,0,18
EM6,MASE,50,33,0,17,0,17,33,17,33,0,17,0,18
EM7,RMSSE,50,0,33,33,0,17,17,0,17,17,17,0,17
EM8,WAPE,50,33,0,17,0,17,33,17,33,0,17,0,18
EM9,WQL,50,33,17,17,0,33,0,50,17,0,0,0,18
EM10,SQL,50,33,0,17,17,33,0,50,33,0,17,0,21
EM11,MQL,50,33,0,17,17,33,0,33,33,0,17,0,19
EM12,DTW,67,33,17,17,0,33,0,17,0,0,17,0,17
EM13,SoftDTW,33,33,17,17,0,0,17,33,33,0,17,17,18
EM14,Wasserstein,67,33,50,17,0,17,17,17,17,0,0,0,19
EM15,TDI,0,0,0,0,0,0,0,0,0,0,0,0,0
EM16,TDA,50,17,17,0,33,33,33,17,0,0,17,0,18
EM17,DA,17,0,17,0,17,17,17,0,0,0,17,0,8
EM18,TPA,17,17,17,0,17,17,33,17,0,0,33,0,14
