em,metric,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12,AVG
EM2,MAE,17,17,33,17,17,33,0,0,17,33,0,0,15
EM3,RMSE,17,17,0,17,17,0,33,17,17,33,0,0,14
EM4,MAPE,17,17,33,33,33,17,0,17,17,33,17,17,21
EM5,SMAPE,17,0,33,17,17,33,17,0,17,17,17,0,15
EM6,MASE,17,17,33,17,17,33,0,0,17,33,0,0,15
EM7,RMSSE,17,17,0,17,17,0,33,0,17,33,0,0,12
EM8,WAPE,17,17,33,17,17,33,0,0,17,33,0,0,15
EM9,WQL,50,33,17,50,17,33,33,17,17,0,0,0,22
EM10,SQL,50,33,17,50,17,50,33,17,17,0,0,0,24
EM11,MQL,50,33,17,50,17,33,33,17,17,0,0,0,22
EM12,DTW,67,33,33,17,17,33,50,50,17,33,0,0,29
EM13,SoftDTW,67,33,17,33,50,33,33,33,0,50,0,17,31
EM14,Wasserstein,17,17,0,17,17,0,17,0,17,33,17,17,14
EM15,TDI,17,17,17,0,0,0,0,0,0,0,0,0,4
EM16,TDA,17,17,50,17,17,33,17,0,0,0,0,0,14
EM17,DA,50,0,17,50,33,17,0,33,33,0,17,0,21
EM18,TPA,0,0,0,0,0,0,0,0,0,0,0,0,0
