em,metric,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12,AVG
EM2,MAE,17,17,17,0,0,17,33,0,0,0,0,0,8
EM3,RMSE,17,33,33,17,17,17,17,17,0,0,0,0,14
EM4,MAPE,17,17,33,17,0,17,33,17,0,0,0,0,12
EM5,SMAPE,17,17,17,17,0,17,33,17,0,0,0,0,11
EM6,MASE,17,17,17,0,0,17,17,0,0,0,0,0,7
EM7,RMSSE,17,33,33,17,17,17,17,17,0,0,0,0,14
EM8,WAPE,17,17,17,0,0,17,17,0,0,0,0,0,7
EM9,WQL,50,50,50,17,17,17,17,0,0,0,0,0,18
EM10,SQL,50,50,50,33,17,17,17,0,0,0,0,0,19
EM11,MQL,50,50,50,17,17,17,33,0,0,0,0,0,19
EM12,DTW,67,67,50,67,67,67,67,50,17,0,0,0,43
EM13,SoftDTW,67,50,50,50,33,33,33,33,33,0,0,0,32
EM14,Wasserstein,33,33,33,33,33,17,33,33,0,0,0,0,21
EM15,TDI,50,50,33,17,0,0,0,0,0,0,0,0,12
EM16,TDA,50,50,67,33,33,50,50,17,17,0,17,0,32
EM17,DA,0,0,17,0,33,0,0,0,0,0,17,0,6
EM18,TPA,17,0,0,0,0,0,0,17,0,0,17,33,7
