exp_id,var,em,horizon_start,date,h,mean,actual,lag12,yoy_fc,yoy_act,gap_pp,pass
B11-M-001,HCPI,EM2,2025-04-01,2025-04-01,1,203.0198,206.5,208.2,-2.4881,-0.8165,-1.6716,False
B11-M-001,HCPI,EM2,2025-04-01,2025-05-01,2,203.1037,207.5,206.3,-1.5493,0.5817,-2.131,False
B11-M-001,HCPI,EM2,2025-04-01,2025-06-01,3,203.046,208.7,208.1,-2.4287,0.2883,-2.717,False
B11-M-001,HCPI,EM2,2025-04-01,2025-07-01,4,202.4878,208.3,206.9,-2.1325,0.6767,-2.8092,False
B11-M-001,HCPI,EM2,2025-04-01,2025-08-01,5,202.8237,207.2,204.1,-0.6254,1.5189,-2.1442,False
B11-M-001,HCPI,EM2,2025-04-01,2025-09-01,6,202.8939,207.4,203.1,-0.1015,2.1172,-2.2187,False
B11-M-001,HCPI,EM2,2025-04-01,2025-10-01,7,203.1199,207.5,202.1,0.5046,2.6719,-2.1673,False
B11-M-001,HCPI,EM2,2025-04-01,2025-11-01,8,203.3969,207.2,202.4,0.4925,2.3715,-1.879,False
B11-M-001,HCPI,EM2,2025-04-01,2025-12-01,9,203.7053,210.5,204.6,-0.4373,2.8837,-3.321,False
B11-M-001,HCPI,EM2,2025-04-01,2026-01-01,10,202.9294,211.4,206.4,-1.6815,2.4225,-4.104,False
B11-M-001,HCPI,EM2,2025-04-01,2026-02-01,11,201.7175,209.4,206.2,-2.1739,1.5519,-3.7257,False
B11-M-001,HCPI,EM2,2025-04-01,2026-03-01,12,201.4026,210.9,206.0,-2.2317,2.3786,-4.6104,False
B11-M-002,HCPI,EM2,2025-05-01,2025-05-01,1,205.8545,207.5,206.3,-0.2159,0.5817,-0.7976,False
B11-M-002,HCPI,EM2,2025-05-01,2025-06-01,2,205.8085,208.7,208.1,-1.1012,0.2883,-1.3895,False
B11-M-002,HCPI,EM2,2025-05-01,2025-07-01,3,206.2436,208.3,206.9,-0.3172,0.6767,-0.9939,False
B11-M-002,HCPI,EM2,2025-05-01,2025-08-01,4,205.6159,207.2,204.1,0.7427,1.5189,-0.7761,False
B11-M-002,HCPI,EM2,2025-05-01,2025-09-01,5,205.5229,207.4,203.1,1.193,2.1172,-0.9242,False
B11-M-002,HCPI,EM2,2025-05-01,2025-10-01,6,206.3934,207.5,202.1,2.1244,2.6719,-0.5475,False
B11-M-002,HCPI,EM2,2025-05-01,2025-11-01,7,206.0332,207.2,202.4,1.7951,2.3715,-0.5765,False
B11-M-002,HCPI,EM2,2025-05-01,2025-12-01,8,206.5406,210.5,204.6,0.9485,2.8837,-1.9352,False
B11-M-002,HCPI,EM2,2025-05-01,2026-01-01,9,206.9484,211.4,206.4,0.2657,2.4225,-2.1568,False
B11-M-002,HCPI,EM2,2025-05-01,2026-02-01,10,206.5899,209.4,206.2,0.1891,1.5519,-1.3628,False
B11-M-002,HCPI,EM2,2025-05-01,2026-03-01,11,206.48,210.9,206.0,0.233,2.3786,-2.1456,False
B11-M-002,HCPI,EM2,2025-05-01,2026-04-01,12,206.148,216.3,206.5,-0.1705,4.7458,-4.9162,False
B11-M-003,HCPI,EM2,2025-06-01,2025-06-01,1,205.7778,208.7,208.1,-1.1159,0.2883,-1.4042,False
B11-M-003,HCPI,EM2,2025-06-01,2025-07-01,2,206.2359,208.3,206.9,-0.321,0.6767,-0.9976,False
B11-M-003,HCPI,EM2,2025-06-01,2025-08-01,3,206.7465,207.2,204.1,1.2967,1.5189,-0.2222,True
B11-M-003,HCPI,EM2,2025-06-01,2025-09-01,4,207.066,207.4,203.1,1.9527,2.1172,-0.1645,True
B11-M-003,HCPI,EM2,2025-06-01,2025-10-01,5,207.4768,207.5,202.1,2.6605,2.6719,-0.0115,True
B11-M-003,HCPI,EM2,2025-06-01,2025-11-01,6,207.9727,207.2,202.4,2.7533,2.3715,0.3818,True
B11-M-003,HCPI,EM2,2025-06-01,2025-12-01,7,208.5634,210.5,204.6,1.9372,2.8837,-0.9465,False
B11-M-003,HCPI,EM2,2025-06-01,2026-01-01,8,209.2681,211.4,206.4,1.3896,2.4225,-1.0329,False
B11-M-003,HCPI,EM2,2025-06-01,2026-02-01,9,209.9234,209.4,206.2,1.8057,1.5519,0.2538,True
B11-M-003,HCPI,EM2,2025-06-01,2026-03-01,10,210.0414,210.9,206.0,1.9618,2.3786,-0.4168,True
B11-M-003,HCPI,EM2,2025-06-01,2026-04-01,11,210.7494,216.3,206.5,2.0578,4.7458,-2.688,False
B11-M-003,HCPI,EM2,2025-06-01,2026-05-01,12,211.0891,218.8,207.5,1.7297,5.4458,-3.7161,False
B11-M-004,HCPI,EM2,2025-07-01,2025-07-01,1,206.1996,208.3,206.9,-0.3385,0.6767,-1.0152,False
B11-M-004,HCPI,EM2,2025-07-01,2025-08-01,2,205.74,207.2,204.1,0.8035,1.5189,-0.7154,False
B11-M-004,HCPI,EM2,2025-07-01,2025-09-01,3,205.414,207.4,203.1,1.1393,2.1172,-0.9779,False
B11-M-004,HCPI,EM2,2025-07-01,2025-10-01,4,205.2531,207.5,202.1,1.5602,2.6719,-1.1118,False
B11-M-004,HCPI,EM2,2025-07-01,2025-11-01,5,205.5596,207.2,202.4,1.5611,2.3715,-0.8105,False
B11-M-004,HCPI,EM2,2025-07-01,2025-12-01,6,206.8551,210.5,204.6,1.1022,2.8837,-1.7815,False
B11-M-004,HCPI,EM2,2025-07-01,2026-01-01,7,207.6184,211.4,206.4,0.5903,2.4225,-1.8322,False
B11-M-004,HCPI,EM2,2025-07-01,2026-02-01,8,207.66,209.4,206.2,0.708,1.5519,-0.8439,False
B11-M-004,HCPI,EM2,2025-07-01,2026-03-01,9,207.0078,210.9,206.0,0.4892,2.3786,-1.8894,False
B11-M-004,HCPI,EM2,2025-07-01,2026-04-01,10,207.257,216.3,206.5,0.3666,4.7458,-4.3792,False
B11-M-004,HCPI,EM2,2025-07-01,2026-05-01,11,207.6858,218.8,207.5,0.0895,5.4458,-5.3562,False
B11-M-004,HCPI,EM2,2025-07-01,2026-06-01,12,208.3937,222.3,208.7,-0.1468,6.5165,-6.6633,False
B11-M-005,HCPI,EM2,2025-08-01,2025-08-01,1,213.3648,207.2,204.1,4.5393,1.5189,3.0205,False
B11-M-005,HCPI,EM2,2025-08-01,2025-09-01,2,213.6201,207.4,203.1,5.1798,2.1172,3.0626,False
B11-M-005,HCPI,EM2,2025-08-01,2025-10-01,3,214.3434,207.5,202.1,6.0581,2.6719,3.3862,False
B11-M-005,HCPI,EM2,2025-08-01,2025-11-01,4,215.0369,207.2,202.4,6.2435,2.3715,3.872,False
B11-M-005,HCPI,EM2,2025-08-01,2025-12-01,5,215.9823,210.5,204.6,5.5632,2.8837,2.6795,False
B11-M-005,HCPI,EM2,2025-08-01,2026-01-01,6,218.2882,211.4,206.4,5.7598,2.4225,3.3373,False
B11-M-005,HCPI,EM2,2025-08-01,2026-02-01,7,218.4122,209.4,206.2,5.9225,1.5519,4.3706,False
B11-M-005,HCPI,EM2,2025-08-01,2026-03-01,8,218.6393,210.9,206.0,6.1356,2.3786,3.7569,False
B11-M-005,HCPI,EM2,2025-08-01,2026-04-01,9,218.8819,216.3,206.5,5.9961,4.7458,1.2503,False
B11-M-005,HCPI,EM2,2025-08-01,2026-05-01,10,219.154,218.8,207.5,5.6164,5.4458,0.1706,True
B11-M-005,HCPI,EM2,2025-08-01,2026-06-01,11,220.0559,222.3,208.7,5.4413,6.5165,-1.0753,False
B11-M-005,HCPI,EM2,2025-08-01,2026-07-01,12,220.3861,223.4,208.3,5.8023,7.2492,-1.4469,False
B11-M-006,HCPI,EM2,2025-09-01,2025-09-01,1,206.7849,207.4,203.1,1.8143,2.1172,-0.3029,True
B11-M-006,HCPI,EM2,2025-09-01,2025-10-01,2,206.617,207.5,202.1,2.235,2.6719,-0.4369,True
B11-M-006,HCPI,EM2,2025-09-01,2025-11-01,3,207.078,207.2,202.4,2.3113,2.3715,-0.0603,True
B11-M-006,HCPI,EM2,2025-09-01,2025-12-01,4,207.5825,210.5,204.6,1.4577,2.8837,-1.4259,False
B11-M-006,HCPI,EM2,2025-09-01,2026-01-01,5,208.2906,211.4,206.4,0.916,2.4225,-1.5065,False
B11-M-006,HCPI,EM2,2025-09-01,2026-02-01,6,208.4776,209.4,206.2,1.1045,1.5519,-0.4473,True
B11-M-006,HCPI,EM2,2025-09-01,2026-03-01,7,208.1455,210.9,206.0,1.0415,2.3786,-1.3371,False
B11-M-006,HCPI,EM2,2025-09-01,2026-04-01,8,208.9033,216.3,206.5,1.1638,4.7458,-3.5819,False
B11-M-006,HCPI,EM2,2025-09-01,2026-05-01,9,209.8318,218.8,207.5,1.1238,5.4458,-4.322,False
B11-M-006,HCPI,EM2,2025-09-01,2026-06-01,10,210.9707,222.3,208.7,1.088,6.5165,-5.4285,False
B11-M-006,HCPI,EM2,2025-09-01,2026-07-01,11,211.1204,223.4,208.3,1.354,7.2492,-5.8952,False
B11-M-006,HCPI,EM2,2025-09-01,2026-08-01,12,210.664,223.9,207.2,1.6718,8.0598,-6.388,False
B11-M-007,HCPI,EM3,2025-04-01,2025-04-01,1,204.098,206.5,208.2,-1.9702,-0.8165,-1.1537,False
B11-M-007,HCPI,EM3,2025-04-01,2025-05-01,2,204.8726,207.5,206.3,-0.6919,0.5817,-1.2736,False
B11-M-007,HCPI,EM3,2025-04-01,2025-06-01,3,205.1763,208.7,208.1,-1.4049,0.2883,-1.6933,False
B11-M-007,HCPI,EM3,2025-04-01,2025-07-01,4,204.8844,208.3,206.9,-0.9742,0.6767,-1.6508,False
B11-M-007,HCPI,EM3,2025-04-01,2025-08-01,5,205.166,207.2,204.1,0.5223,1.5189,-0.9966,False
B11-M-007,HCPI,EM3,2025-04-01,2025-09-01,6,205.1129,207.4,203.1,0.9911,2.1172,-1.1261,False
B11-M-007,HCPI,EM3,2025-04-01,2025-10-01,7,205.0982,207.5,202.1,1.4835,2.6719,-1.1884,False
B11-M-007,HCPI,EM3,2025-04-01,2025-11-01,8,205.1311,207.2,202.4,1.3493,2.3715,-1.0222,False
B11-M-007,HCPI,EM3,2025-04-01,2025-12-01,9,205.1139,210.5,204.6,0.2512,2.8837,-2.6325,False
B11-M-007,HCPI,EM3,2025-04-01,2026-01-01,10,204.491,211.4,206.4,-0.9249,2.4225,-3.3474,False
B11-M-007,HCPI,EM3,2025-04-01,2026-02-01,11,204.124,209.4,206.2,-1.0068,1.5519,-2.5587,False
B11-M-007,HCPI,EM3,2025-04-01,2026-03-01,12,204.1878,210.9,206.0,-0.8797,2.3786,-3.2584,False
B11-M-008,HCPI,EM3,2025-05-01,2025-05-01,1,205.0396,207.5,206.3,-0.611,0.5817,-1.1926,False
B11-M-008,HCPI,EM3,2025-05-01,2025-06-01,2,205.4192,208.7,208.1,-1.2882,0.2883,-1.5765,False
B11-M-008,HCPI,EM3,2025-05-01,2025-07-01,3,205.5337,208.3,206.9,-0.6604,0.6767,-1.337,False
B11-M-008,HCPI,EM3,2025-05-01,2025-08-01,4,205.1903,207.2,204.1,0.5342,1.5189,-0.9847,False
B11-M-008,HCPI,EM3,2025-05-01,2025-09-01,5,205.6332,207.4,203.1,1.2473,2.1172,-0.8699,False
B11-M-008,HCPI,EM3,2025-05-01,2025-10-01,6,205.8269,207.5,202.1,1.8441,2.6719,-0.8279,False
B11-M-008,HCPI,EM3,2025-05-01,2025-11-01,7,206.6522,207.2,202.4,2.1009,2.3715,-0.2707,True
B11-M-008,HCPI,EM3,2025-05-01,2025-12-01,8,207.3195,210.5,204.6,1.3292,2.8837,-1.5545,False
B11-M-008,HCPI,EM3,2025-05-01,2026-01-01,9,207.8921,211.4,206.4,0.7229,2.4225,-1.6996,False
