var,em,origin,h,band,hit,d_act,d_fc,flat_act,flat_fc
CCPI,EM12,2024-05-01,1,band1pp,True,-0.572,0.8073,True,True
CCPI,EM12,2024-05-01,2,band1pp,True,0.78,-0.0796,True,True
CCPI,EM12,2024-05-01,3,band1pp,False,0.6499,1.3115,True,False
CCPI,EM12,2024-05-01,4,band1pp,False,-1.8399,0.1012,False,True
CCPI,EM12,2024-05-01,5,band1pp,False,-0.9953,-1.1072,True,False
CCPI,EM12,2024-05-01,6,band1pp,True,-0.3145,0.1278,True,True
CCPI,EM12,2024-05-01,7,band1pp,False,-1.2846,-0.7352,False,True
CCPI,EM12,2024-05-01,8,band1pp,True,0.3256,-0.6356,True,True
CCPI,EM12,2024-05-01,9,band1pp,True,-2.2932,-2.5099,False,False
CCPI,EM12,2024-05-01,10,band1pp,True,-0.1516,-0.0634,True,True
CCPI,EM12,2024-05-01,11,band1pp,True,1.5947,2.1884,False,False
CCPI,EM12,2024-05-01,12,band1pp,False,0.5436,1.0345,True,False
CCPI,EM12,2024-05-01,1,noband,False,-0.572,0.8073,False,False
CCPI,EM12,2024-05-01,2,noband,False,0.78,-0.0796,False,False
CCPI,EM12,2024-05-01,3,noband,True,0.6499,1.3115,False,False
CCPI,EM12,2024-05-01,4,noband,False,-1.8399,0.1012,False,False
CCPI,EM12,2024-05-01,5,noband,True,-0.9953,-1.1072,False,False
CCPI,EM12,2024-05-01,6,noband,False,-0.3145,0.1278,False,False
CCPI,EM12,2024-05-01,7,noband,True,-1.2846,-0.7352,False,False
CCPI,EM12,2024-05-01,8,noband,False,0.3256,-0.6356,False,False
CCPI,EM12,2024-05-01,9,noband,True,-2.2932,-2.5099,False,False
CCPI,EM12,2024-05-01,10,noband,True,-0.1516,-0.0634,False,False
CCPI,EM12,2024-05-01,11,noband,True,1.5947,2.1884,False,False
CCPI,EM12,2024-05-01,12,noband,True,0.5436,1.0345,False,False
CCPI,EM12,2024-06-01,1,band1pp,True,0.78,0.6941,True,True
CCPI,EM12,2024-06-01,2,band1pp,False,0.6499,1.2106,True,False
CCPI,EM12,2024-06-01,3,band1pp,False,-1.8399,0.2265,False,True
CCPI,EM12,2024-06-01,4,band1pp,True,-0.9953,-0.7254,True,True
CCPI,EM12,2024-06-01,5,band1pp,True,-0.3145,0.2732,True,True
CCPI,EM12,2024-06-01,6,band1pp,False,-1.2846,-0.7774,False,True
CCPI,EM12,2024-06-01,7,band1pp,True,0.3256,-0.3075,True,True
CCPI,EM12,2024-06-01,8,band1pp,True,-2.2932,-2.2921,False,False
CCPI,EM12,2024-06-01,9,band1pp,True,-0.1516,0.3087,True,True
CCPI,EM12,2024-06-01,10,band1pp,True,1.5947,2.1859,False,False
CCPI,EM12,2024-06-01,11,band1pp,False,0.5436,1.0794,True,False
CCPI,EM12,2024-06-01,12,band1pp,False,1.3794,0.8988,False,True
CCPI,EM12,2024-06-01,1,noband,True,0.78,0.6941,False,False
CCPI,EM12,2024-06-01,2,noband,True,0.6499,1.2106,False,False
CCPI,EM12,2024-06-01,3,noband,False,-1.8399,0.2265,False,False
CCPI,EM12,2024-06-01,4,noband,True,-0.9953,-0.7254,False,False
CCPI,EM12,2024-06-01,5,noband,False,-0.3145,0.2732,False,False
CCPI,EM12,2024-06-01,6,noband,True,-1.2846,-0.7774,False,False
CCPI,EM12,2024-06-01,7,noband,False,0.3256,-0.3075,False,False
CCPI,EM12,2024-06-01,8,noband,True,-2.2932,-2.2921,False,False
CCPI,EM12,2024-06-01,9,noband,False,-0.1516,0.3087,False,False
CCPI,EM12,2024-06-01,10,noband,True,1.5947,2.1859,False,False
CCPI,EM12,2024-06-01,11,noband,True,0.5436,1.0794,False,False
CCPI,EM12,2024-06-01,12,noband,True,1.3794,0.8988,False,False
CCPI,EM12,2024-07-01,1,band1pp,False,0.6499,1.3451,True,False
CCPI,EM12,2024-07-01,2,band1pp,False,-1.8399,-0.0225,False,True
CCPI,EM12,2024-07-01,3,band1pp,True,-0.9953,-0.7859,True,True
CCPI,EM12,2024-07-01,4,band1pp,True,-0.3145,0.2525,True,True
CCPI,EM12,2024-07-01,5,band1pp,False,-1.2846,-0.9027,False,True
CCPI,EM12,2024-07-01,6,band1pp,True,0.3256,-0.7245,True,True
CCPI,EM12,2024-07-01,7,band1pp,True,-2.2932,-2.5356,False,False
CCPI,EM12,2024-07-01,8,band1pp,True,-0.1516,0.0481,True,True
CCPI,EM12,2024-07-01,9,band1pp,True,1.5947,2.0023,False,False
CCPI,EM12,2024-07-01,10,band1pp,True,0.5436,0.9655,True,True
CCPI,EM12,2024-07-01,11,band1pp,False,1.3794,0.9523,False,True
CCPI,EM12,2024-07-01,12,band1pp,True,0.1074,-0.2841,True,True
CCPI,EM12,2024-07-01,1,noband,True,0.6499,1.3451,False,False
CCPI,EM12,2024-07-01,2,noband,True,-1.8399,-0.0225,False,False
CCPI,EM12,2024-07-01,3,noband,True,-0.9953,-0.7859,False,False
CCPI,EM12,2024-07-01,4,noband,False,-0.3145,0.2525,False,False
CCPI,EM12,2024-07-01,5,noband,True,-1.2846,-0.9027,False,False
CCPI,EM12,2024-07-01,6,noband,False,0.3256,-0.7245,False,False
CCPI,EM12,2024-07-01,7,noband,True,-2.2932,-2.5356,False,False
CCPI,EM12,2024-07-01,8,noband,False,-0.1516,0.0481,False,False
CCPI,EM12,2024-07-01,9,noband,True,1.5947,2.0023,False,False
CCPI,EM12,2024-07-01,10,noband,True,0.5436,0.9655,False,False
CCPI,EM12,2024-07-01,11,noband,True,1.3794,0.9523,False,False
CCPI,EM12,2024-07-01,12,noband,False,0.1074,-0.2841,False,False
CCPI,EM12,2024-08-01,1,band1pp,False,-1.8399,0.3035,False,True
CCPI,EM12,2024-08-01,2,band1pp,True,-0.9953,-0.6218,True,True
CCPI,EM12,2024-08-01,3,band1pp,True,-0.3145,0.4805,True,True
CCPI,EM12,2024-08-01,4,band1pp,False,-1.2846,-0.7028,False,True
CCPI,EM12,2024-08-01,5,band1pp,True,0.3256,-0.5437,True,True
CCPI,EM12,2024-08-01,6,band1pp,True,-2.2932,-2.3833,False,False
CCPI,EM12,2024-08-01,7,band1pp,True,-0.1516,0.2797,True,True
CCPI,EM12,2024-08-01,8,band1pp,True,1.5947,2.3157,False,False
CCPI,EM12,2024-08-01,9,band1pp,False,0.5436,1.192,True,False
CCPI,EM12,2024-08-01,10,band1pp,True,1.3794,1.0859,False,False
CCPI,EM12,2024-08-01,11,band1pp,True,0.1074,-0.2164,True,True
CCPI,EM12,2024-08-01,12,band1pp,True,0.2542,0.7679,True,True
CCPI,EM12,2024-08-01,1,noband,False,-1.8399,0.3035,False,False
CCPI,EM12,2024-08-01,2,noband,True,-0.9953,-0.6218,False,False
CCPI,EM12,2024-08-01,3,noband,False,-0.3145,0.4805,False,False
CCPI,EM12,2024-08-01,4,noband,True,-1.2846,-0.7028,False,False
CCPI,EM12,2024-08-01,5,noband,False,0.3256,-0.5437,False,False
CCPI,EM12,2024-08-01,6,noband,True,-2.2932,-2.3833,False,False
CCPI,EM12,2024-08-01,7,noband,False,-0.1516,0.2797,False,False
CCPI,EM12,2024-08-01,8,noband,True,1.5947,2.3157,False,False
CCPI,EM12,2024-08-01,9,noband,True,0.5436,1.192,False,False
CCPI,EM12,2024-08-01,10,noband,True,1.3794,1.0859,False,False
CCPI,EM12,2024-08-01,11,noband,False,0.1074,-0.2164,False,False
CCPI,EM12,2024-08-01,12,noband,True,0.2542,0.7679,False,False
CCPI,EM12,2024-09-01,1,band1pp,True,-0.9953,-0.6895,True,True
CCPI,EM12,2024-09-01,2,band1pp,True,-0.3145,0.3318,True,True
CCPI,EM12,2024-09-01,3,band1pp,False,-1.2846,-0.725,False,True
CCPI,EM12,2024-09-01,4,band1pp,True,0.3256,-0.5797,True,True
CCPI,EM12,2024-09-01,5,band1pp,True,-2.2932,-2.357,False,False
CCPI,EM12,2024-09-01,6,band1pp,True,-0.1516,0.0954,True,True
CCPI,EM12,2024-09-01,7,band1pp,True,1.5947,1.9554,False,False
CCPI,EM12,2024-09-01,8,band1pp,False,0.5436,1.1192,True,False
CCPI,EM12,2024-09-01,9,band1pp,True,1.3794,1.0539,False,False
CCPI,EM12,2024-09-01,10,band1pp,True,0.1074,-0.0638,True,True
CCPI,EM12,2024-09-01,11,band1pp,True,0.2542,0.5636,True,True
CCPI,EM12,2024-09-01,12,band1pp,True,1.4594,1.9455,False,False
CCPI,EM12,2024-09-01,1,noband,True,-0.9953,-0.6895,False,False
CCPI,EM12,2024-09-01,2,noband,False,-0.3145,0.3318,False,False
CCPI,EM12,2024-09-01,3,noband,True,-1.2846,-0.725,False,False
CCPI,EM12,2024-09-01,4,noband,False,0.3256,-0.5797,False,False
CCPI,EM12,2024-09-01,5,noband,True,-2.2932,-2.357,False,False
CCPI,EM12,2024-09-01,6,noband,False,-0.1516,0.0954,False,False
CCPI,EM12,2024-09-01,7,noband,True,1.5947,1.9554,False,False
CCPI,EM12,2024-09-01,8,noband,True,0.5436,1.1192,False,False
CCPI,EM12,2024-09-01,9,noband,True,1.3794,1.0539,False,False
CCPI,EM12,2024-09-01,10,noband,False,0.1074,-0.0638,False,False
CCPI,EM12,2024-09-01,11,noband,True,0.2542,0.5636,False,False
CCPI,EM12,2024-09-01,12,noband,True,1.4594,1.9455,False,False
CCPI,EM12,2024-10-01,1,band1pp,True,-0.3145,0.3685,True,True
CCPI,EM12,2024-10-01,2,band1pp,False,-1.2846,-0.6326,False,True
CCPI,EM12,2024-10-01,3,band1pp,True,0.3256,-0.7402,True,True
CCPI,EM12,2024-10-01,4,band1pp,True,-2.2932,-2.3408,False,False
CCPI,EM12,2024-10-01,5,band1pp,True,-0.1516,-0.2491,True,True
CCPI,EM12,2024-10-01,6,band1pp,True,1.5947,1.6656,False,False
CCPI,EM12,2024-10-01,7,band1pp,True,0.5436,0.8325,True,True
CCPI,EM12,2024-10-01,8,band1pp,True,1.3794,1.0375,False,False
CCPI,EM12,2024-10-01,9,band1pp,True,0.1074,-0.0817,True,True
CCPI,EM12,2024-10-01,10,band1pp,True,0.2542,0.4923,True,True
CCPI,EM12,2024-10-01,11,band1pp,True,1.4594,1.6584,False,False
CCPI,EM12,2024-10-01,12,band1pp,True,0.3155,0.2877,True,True
CCPI,EM12,2024-10-01,1,noband,False,-0.3145,0.3685,False,False
CCPI,EM12,2024-10-01,2,noband,True,-1.2846,-0.6326,False,False
CCPI,EM12,2024-10-01,3,noband,False,0.3256,-0.7402,False,False
CCPI,EM12,2024-10-01,4,noband,True,-2.2932,-2.3408,False,False
CCPI,EM12,2024-10-01,5,noband,True,-0.1516,-0.2491,False,False
CCPI,EM12,2024-10-01,6,noband,True,1.5947,1.6656,False,False
CCPI,EM12,2024-10-01,7,noband,True,0.5436,0.8325,False,False
CCPI,EM12,2024-10-01,8,noband,True,1.3794,1.0375,False,False
CCPI,EM12,2024-10-01,9,noband,False,0.1074,-0.0817,False,False
CCPI,EM12,2024-10-01,10,noband,True,0.2542,0.4923,False,False
CCPI,EM12,2024-10-01,11,noband,True,1.4594,1.6584,False,False
CCPI,EM12,2024-10-01,12,noband,True,0.3155,0.2877,False,False
CCPI,EM12,2024-11-01,1,band1pp,False,-1.2846,0.3534,False,True
CCPI,EM12,2024-11-01,2,band1pp,True,0.3256,-0.7645,True,True
CCPI,EM12,2024-11-01,3,band1pp,True,-2.2932,-2.3025,False,False
CCPI,EM12,2024-11-01,4,band1pp,True,-0.1516,-0.2399,True,True
CCPI,EM12,2024-11-01,5,band1pp,True,1.5947,1.7391,False,False
CCPI,EM12,2024-11-01,6,band1pp,True,0.5436,0.8969,True,True
CCPI,EM12,2024-11-01,7,band1pp,True,1.3794,1.0514,False,False
CCPI,EM12,2024-11-01,8,band1pp,True,0.1074,0.0483,True,True
CCPI,EM12,2024-11-01,9,band1pp,True,0.2542,0.4275,True,True
CCPI,EM12,2024-11-01,10,band1pp,True,1.4594,1.5904,False,False
CCPI,EM12,2024-11-01,11,band1pp,True,0.3155,0.1399,True,True
CCPI,EM12,2024-11-01,12,band1pp,True,0.587,0.4145,True,True
CCPI,EM12,2024-11-01,1,noband,False,-1.2846,0.3534,False,False
CCPI,EM12,2024-11-01,2,noband,False,0.3256,-0.7645,False,False
CCPI,EM12,2024-11-01,3,noband,True,-2.2932,-2.3025,False,False
CCPI,EM12,2024-11-01,4,noband,True,-0.1516,-0.2399,False,False
CCPI,EM12,2024-11-01,5,noband,True,1.5947,1.7391,False,False
CCPI,EM12,2024-11-01,6,noband,True,0.5436,0.8969,False,False
CCPI,EM12,2024-11-01,7,noband,True,1.3794,1.0514,False,False
CCPI,EM12,2024-11-01,8,noband,True,0.1074,0.0483,False,False
CCPI,EM12,2024-11-01,9,noband,True,0.2542,0.4275,False,False
CCPI,EM12,2024-11-01,10,noband,True,1.4594,1.5904,False,False
CCPI,EM12,2024-11-01,11,noband,True,0.3155,0.1399,False,False
CCPI,EM12,2024-11-01,12,noband,True,0.587,0.4145,False,False
CCPI,EM12,2024-12-01,1,band1pp,True,0.3256,-0.6559,True,True
CCPI,EM12,2024-12-01,2,band1pp,True,-2.2932,-2.7684,False,False
CCPI,EM12,2024-12-01,3,band1pp,True,-0.1516,0.0262,True,True
CCPI,EM12,2024-12-01,4,band1pp,True,1.5947,1.8562,False,False
CCPI,EM12,2024-12-01,5,band1pp,True,0.5436,0.6765,True,True
CCPI,EM12,2024-12-01,6,band1pp,False,1.3794,0.5475,False,True
CCPI,EM12,2024-12-01,7,band1pp,True,0.1074,-0.6588,True,True
CCPI,EM12,2024-12-01,8,band1pp,True,0.2542,0.4611,True,True
CCPI,EM12,2024-12-01,9,band1pp,True,1.4594,1.7972,False,False
CCPI,EM12,2024-12-01,10,band1pp,True,0.3155,0.0856,True,True
CCPI,EM12,2024-12-01,11,band1pp,True,0.587,0.5354,True,True
CCPI,EM12,2024-12-01,12,band1pp,True,0.0582,0.2627,True,True
CCPI,EM12,2024-12-01,1,noband,False,0.3256,-0.6559,False,False
CCPI,EM12,2024-12-01,2,noband,True,-2.2932,-2.7684,False,False
CCPI,EM12,2024-12-01,3,noband,False,-0.1516,0.0262,False,False
CCPI,EM12,2024-12-01,4,noband,True,1.5947,1.8562,False,False
CCPI,EM12,2024-12-01,5,noband,True,0.5436,0.6765,False,False
CCPI,EM12,2024-12-01,6,noband,True,1.3794,0.5475,False,False
CCPI,EM12,2024-12-01,7,noband,False,0.1074,-0.6588,False,False
CCPI,EM12,2024-12-01,8,noband,True,0.2542,0.4611,False,False
CCPI,EM12,2024-12-01,9,noband,True,1.4594,1.7972,False,False
CCPI,EM12,2024-12-01,10,noband,True,0.3155,0.0856,False,False
CCPI,EM12,2024-12-01,11,noband,True,0.587,0.5354,False,False
CCPI,EM12,2024-12-01,12,noband,True,0.0582,0.2627,False,False
CCPI,EM12,2025-01-01,1,band1pp,True,-2.2932,-2.3434,False,False
CCPI,EM12,2025-01-01,2,band1pp,True,-0.1516,-0.0131,True,True
CCPI,EM12,2025-01-01,3,band1pp,True,1.5947,1.87,False,False
CCPI,EM12,2025-01-01,4,band1pp,True,0.5436,0.7163,True,True
CCPI,EM12,2025-01-01,5,band1pp,False,1.3794,0.5151,False,True
CCPI,EM12,2025-01-01,6,band1pp,True,0.1074,-0.7975,True,True
CCPI,EM12,2025-01-01,7,band1pp,True,0.2542,0.5164,True,True
CCPI,EM12,2025-01-01,8,band1pp,True,1.4594,1.8862,False,False
CCPI,EM12,2025-01-01,9,band1pp,True,0.3155,0.2437,True,True
CCPI,EM12,2025-01-01,10,band1pp,True,0.587,0.4417,True,True
CCPI,EM12,2025-01-01,11,band1pp,True,0.0582,0.2714,True,True
CCPI,EM12,2025-01-01,12,band1pp,False,0.0268,-1.2024,True,False
CCPI,EM12,2025-01-01,1,noband,True,-2.2932,-2.3434,False,False
CCPI,EM12,2025-01-01,2,noband,True,-0.1516,-0.0131,False,False
CCPI,EM12,2025-01-01,3,noband,True,1.5947,1.87,False,False
CCPI,EM12,2025-01-01,4,noband,True,0.5436,0.7163,False,False
CCPI,EM12,2025-01-01,5,noband,True,1.3794,0.5151,False,False
CCPI,EM12,2025-01-01,6,noband,False,0.1074,-0.7975,False,False
CCPI,EM12,2025-01-01,7,noband,True,0.2542,0.5164,False,False
CCPI,EM12,2025-01-01,8,noband,True,1.4594,1.8862,False,False
CCPI,EM12,2025-01-01,9,noband,True,0.3155,0.2437,False,False
CCPI,EM12,2025-01-01,10,noband,True,0.587,0.4417,False,False
CCPI,EM12,2025-01-01,11,noband,True,0.0582,0.2714,False,False
CCPI,EM12,2025-01-01,12,noband,False,0.0268,-1.2024,False,False
CCPI,EM12,2025-02-01,1,band1pp,True,-0.1516,0.3261,True,True
CCPI,EM12,2025-02-01,2,band1pp,True,1.5947,2.0766,False,False
CCPI,EM12,2025-02-01,3,band1pp,True,0.5436,0.8027,True,True
CCPI,EM12,2025-02-01,4,band1pp,False,1.3794,0.5834,False,True
CCPI,EM12,2025-02-01,5,band1pp,True,0.1074,-0.6282,True,True
CCPI,EM12,2025-02-01,6,band1pp,True,0.2542,0.6031,True,True
CCPI,EM12,2025-02-01,7,band1pp,True,1.4594,1.9766,False,False
CCPI,EM12,2025-02-01,8,band1pp,True,0.3155,0.2728,True,True
CCPI,EM12,2025-02-01,9,band1pp,True,0.587,0.5386,True,True
CCPI,EM12,2025-02-01,10,band1pp,True,0.0582,0.3319,True,True
CCPI,EM12,2025-02-01,11,band1pp,False,0.0268,-1.2887,True,False
CCPI,EM12,2025-02-01,12,band1pp,True,0.1458,-0.4744,True,True
CCPI,EM12,2025-02-01,1,noband,False,-0.1516,0.3261,False,False
CCPI,EM12,2025-02-01,2,noband,True,1.5947,2.0766,False,False
CCPI,EM12,2025-02-01,3,noband,True,0.5436,0.8027,False,False
CCPI,EM12,2025-02-01,4,noband,True,1.3794,0.5834,False,False
CCPI,EM12,2025-02-01,5,noband,False,0.1074,-0.6282,False,False
CCPI,EM12,2025-02-01,6,noband,True,0.2542,0.6031,False,False
CCPI,EM12,2025-02-01,7,noband,True,1.4594,1.9766,False,False
CCPI,EM12,2025-02-01,8,noband,True,0.3155,0.2728,False,False
CCPI,EM12,2025-02-01,9,noband,True,0.587,0.5386,False,False
CCPI,EM12,2025-02-01,10,noband,True,0.0582,0.3319,False,False
CCPI,EM12,2025-02-01,11,noband,False,0.0268,-1.2887,False,False
CCPI,EM12,2025-02-01,12,noband,False,0.1458,-0.4744,False,False
CCPI,EM12,2025-03-01,1,band1pp,False,1.5947,-0.2901,False,True
CCPI,EM12,2025-03-01,2,band1pp,False,0.5436,1.007,True,False
CCPI,EM12,2025-03-01,3,band1pp,False,1.3794,0.6449,False,True
CCPI,EM12,2025-03-01,4,band1pp,True,0.1074,-0.5529,True,True
CCPI,EM12,2025-03-01,5,band1pp,True,0.2542,0.6552,True,True
CCPI,EM12,2025-03-01,6,band1pp,True,1.4594,1.9769,False,False
