block,exp_id,var,em,horizon_start,date,h,mean,actual,lag12,gap_pp,pass_yoy1,pass_lvl1,rel,pass2
Blk1.1,B11-M-055,HCPI,EM11,2025-04-01,2025-04-01,1,204.8006,206.5,208.2,-0.8162,True,True,-0.00823,True
Blk1.1,B11-M-055,HCPI,EM11,2025-04-01,2025-05-01,2,205.3251,207.5,206.3,-1.0542,False,False,-0.01048,True
Blk1.1,B11-M-055,HCPI,EM11,2025-04-01,2025-06-01,3,205.7596,208.7,208.1,-1.413,False,False,-0.01409,True
Blk1.1,B11-M-055,HCPI,EM11,2025-04-01,2025-07-01,4,205.6451,208.3,206.9,-1.2832,False,False,-0.01275,True
Blk1.1,B11-M-055,HCPI,EM11,2025-04-01,2025-08-01,5,205.7234,207.2,204.1,-0.7235,True,True,-0.00713,True
Blk1.1,B11-M-055,HCPI,EM11,2025-04-01,2025-09-01,6,205.8417,207.4,203.1,-0.7673,True,True,-0.00751,True
Blk1.1,B11-M-055,HCPI,EM11,2025-04-01,2025-10-01,7,205.7555,207.5,202.1,-0.8632,True,True,-0.00841,True
Blk1.1,B11-M-055,HCPI,EM11,2025-04-01,2025-11-01,8,205.9101,207.2,202.4,-0.6373,True,True,-0.00623,True
Blk1.1,B11-M-055,HCPI,EM11,2025-04-01,2025-12-01,9,205.9682,210.5,204.6,-2.215,False,False,-0.02153,False
Blk1.1,B11-M-055,HCPI,EM11,2025-04-01,2026-01-01,10,205.5311,211.4,206.4,-2.8434,False,False,-0.02776,False
Blk1.1,B11-M-055,HCPI,EM11,2025-04-01,2026-02-01,11,205.2613,209.4,206.2,-2.0071,False,False,-0.01976,True
Blk1.1,B11-M-055,HCPI,EM11,2025-04-01,2026-03-01,12,205.3158,210.9,206.0,-2.7108,False,False,-0.02648,False
Blk1.1,B11-M-056,HCPI,EM11,2025-05-01,2025-05-01,1,206.7089,207.5,206.3,-0.3835,True,True,-0.00381,True
Blk1.1,B11-M-056,HCPI,EM11,2025-05-01,2025-06-01,2,206.9739,208.7,208.1,-0.8295,True,True,-0.00827,True
Blk1.1,B11-M-056,HCPI,EM11,2025-05-01,2025-07-01,3,207.0181,208.3,206.9,-0.6196,True,True,-0.00615,True
Blk1.1,B11-M-056,HCPI,EM11,2025-05-01,2025-08-01,4,207.0171,207.2,204.1,-0.0896,True,True,-0.00088,True
Blk1.1,B11-M-056,HCPI,EM11,2025-05-01,2025-09-01,5,207.0824,207.4,203.1,-0.1564,True,True,-0.00153,True
Blk1.1,B11-M-056,HCPI,EM11,2025-05-01,2025-10-01,6,207.1463,207.5,202.1,-0.175,True,True,-0.0017,True
Blk1.1,B11-M-056,HCPI,EM11,2025-05-01,2025-11-01,7,207.3049,207.2,202.4,0.0518,True,True,0.00051,True
Blk1.1,B11-M-056,HCPI,EM11,2025-05-01,2025-12-01,8,207.4264,210.5,204.6,-1.5023,False,False,-0.0146,True
Blk1.1,B11-M-056,HCPI,EM11,2025-05-01,2026-01-01,9,207.5494,211.4,206.4,-1.8656,False,False,-0.01821,True
Blk1.1,B11-M-056,HCPI,EM11,2025-05-01,2026-02-01,10,207.5456,209.4,206.2,-0.8993,True,True,-0.00886,True
Blk1.1,B11-M-056,HCPI,EM11,2025-05-01,2026-03-01,11,207.5154,210.9,206.0,-1.643,False,False,-0.01605,True
Blk1.1,B11-M-056,HCPI,EM11,2025-05-01,2026-04-01,12,207.6544,216.3,206.5,-4.1868,False,False,-0.03997,False
Blk1.1,B11-M-057,HCPI,EM11,2025-06-01,2025-06-01,1,205.5718,208.7,208.1,-1.5032,False,False,-0.01499,True
Blk1.1,B11-M-057,HCPI,EM11,2025-06-01,2025-07-01,2,205.759,208.3,206.9,-1.2281,False,False,-0.0122,True
Blk1.1,B11-M-057,HCPI,EM11,2025-06-01,2025-08-01,3,205.8014,207.2,204.1,-0.6852,True,True,-0.00675,True
Blk1.1,B11-M-057,HCPI,EM11,2025-06-01,2025-09-01,4,205.8266,207.4,203.1,-0.7747,True,True,-0.00759,True
Blk1.1,B11-M-057,HCPI,EM11,2025-06-01,2025-10-01,5,205.9771,207.5,202.1,-0.7535,True,True,-0.00734,True
Blk1.1,B11-M-057,HCPI,EM11,2025-06-01,2025-11-01,6,206.4592,207.2,202.4,-0.366,True,True,-0.00358,True
Blk1.1,B11-M-057,HCPI,EM11,2025-06-01,2025-12-01,7,207.1096,210.5,204.6,-1.6571,False,False,-0.01611,True
Blk1.1,B11-M-057,HCPI,EM11,2025-06-01,2026-01-01,8,207.8631,211.4,206.4,-1.7136,False,False,-0.01673,True
Blk1.1,B11-M-057,HCPI,EM11,2025-06-01,2026-02-01,9,208.1441,209.4,206.2,-0.6091,True,True,-0.006,True
Blk1.1,B11-M-057,HCPI,EM11,2025-06-01,2026-03-01,10,207.6223,210.9,206.0,-1.5911,False,False,-0.01554,True
Blk1.1,B11-M-057,HCPI,EM11,2025-06-01,2026-04-01,11,208.4032,216.3,206.5,-3.8241,False,False,-0.03651,False
Blk1.1,B11-M-057,HCPI,EM11,2025-06-01,2026-05-01,12,208.8728,218.8,207.5,-4.7842,False,False,-0.04537,False
Blk1.1,B11-M-058,HCPI,EM11,2025-07-01,2025-07-01,1,207.3889,208.3,206.9,-0.4404,True,True,-0.00437,True
Blk1.1,B11-M-058,HCPI,EM11,2025-07-01,2025-08-01,2,207.1594,207.2,204.1,-0.0199,True,True,-0.0002,True
Blk1.1,B11-M-058,HCPI,EM11,2025-07-01,2025-09-01,3,208.1934,207.4,203.1,0.3906,True,True,0.00383,True
Blk1.1,B11-M-058,HCPI,EM11,2025-07-01,2025-10-01,4,207.8764,207.5,202.1,0.1862,True,True,0.00181,True
Blk1.1,B11-M-058,HCPI,EM11,2025-07-01,2025-11-01,5,208.4433,207.2,202.4,0.6143,True,True,0.006,True
