origin,date,Actual,DTW,MQL,SQL,Soft-DTW,WQL
64,2025-04-01,206.5,206.0,204.8,204.8,205.61,204.81
64,2025-05-01,207.5,206.13,205.33,205.33,206.29,205.34
64,2025-06-01,208.7,206.43,205.76,205.76,206.59,205.78
64,2025-07-01,208.3,206.55,205.65,205.65,206.19,205.66
64,2025-08-01,207.2,206.65,205.72,205.72,206.5,205.74
64,2025-09-01,207.4,206.75,205.84,205.84,206.45,205.86
64,2025-10-01,207.5,206.86,205.76,205.76,206.44,205.76
64,2025-11-01,207.2,207.13,205.91,205.91,206.43,205.92
64,2025-12-01,210.5,207.48,205.97,205.97,206.62,205.97
64,2026-01-01,211.4,207.68,205.53,205.53,206.13,205.53
64,2026-02-01,209.4,207.8,205.26,205.26,205.78,205.25
64,2026-03-01,210.9,207.94,205.32,205.32,205.8,205.3
65,2025-05-01,207.5,205.68,206.71,206.7,206.47,206.71
65,2025-06-01,208.7,205.86,206.97,206.96,206.54,206.98
65,2025-07-01,208.3,205.93,207.02,207.01,206.6,207.02
65,2025-08-01,207.2,205.75,207.02,207.01,206.47,207.02
65,2025-09-01,207.4,206.12,207.08,207.07,206.79,207.09
65,2025-10-01,207.5,206.31,207.15,207.13,206.95,207.15
65,2025-11-01,207.2,206.94,207.3,207.29,207.46,207.31
65,2025-12-01,210.5,207.39,207.43,207.41,207.81,207.44
65,2026-01-01,211.4,207.88,207.55,207.53,208.29,207.56
65,2026-02-01,209.4,208.4,207.55,207.52,208.9,207.56
65,2026-03-01,210.9,208.37,207.52,207.49,208.86,207.53
65,2026-04-01,216.3,208.45,207.65,207.63,208.86,207.67
66,2025-06-01,208.7,208.98,205.57,205.61,208.87,205.57
66,2025-07-01,208.3,209.0,205.76,205.8,209.15,205.76
66,2025-08-01,207.2,209.08,205.8,205.84,209.02,205.8
66,2025-09-01,207.4,208.91,205.83,205.87,208.91,205.83
66,2025-10-01,207.5,209.11,205.98,206.02,209.14,205.98
66,2025-11-01,207.2,209.36,206.46,206.51,209.52,206.46
66,2025-12-01,210.5,210.16,207.11,207.15,210.21,207.11
66,2026-01-01,211.4,210.62,207.86,207.9,210.33,207.86
66,2026-02-01,209.4,210.89,208.14,208.18,210.68,208.14
66,2026-03-01,210.9,211.06,207.62,207.67,210.97,207.62
66,2026-04-01,216.3,211.23,208.4,208.44,210.96,208.4
66,2026-05-01,218.8,211.5,208.87,208.92,211.13,208.87
67,2025-07-01,208.3,209.08,207.39,207.48,207.93,207.37
67,2025-08-01,207.2,208.56,207.16,207.24,207.86,207.14
67,2025-09-01,207.4,208.37,208.19,208.31,207.75,208.19
67,2025-10-01,207.5,208.17,207.88,207.98,207.62,207.88
67,2025-11-01,207.2,208.53,208.44,208.56,207.94,208.46
67,2025-12-01,210.5,209.23,209.06,209.19,208.48,209.1
67,2026-01-01,211.4,209.87,209.93,210.1,209.18,209.99
67,2026-02-01,209.4,209.84,209.48,209.59,209.3,209.54
67,2026-03-01,210.9,209.71,210.31,210.45,208.94,210.38
67,2026-04-01,216.3,210.21,209.9,210.03,208.8,209.99
67,2026-05-01,218.8,210.83,210.88,211.0,209.32,211.0
67,2026-06-01,222.3,211.38,211.54,211.69,209.58,211.69
68,2025-08-01,207.2,210.38,210.16,210.59,213.76,210.22
68,2025-09-01,207.4,210.48,210.35,210.8,213.98,210.41
68,2025-10-01,207.5,210.95,210.96,211.44,214.8,211.02
68,2025-11-01,207.2,211.96,211.65,212.16,215.48,211.72
68,2025-12-01,210.5,213.29,212.36,212.91,216.48,212.44
68,2026-01-01,211.4,214.96,213.19,213.81,218.28,213.28
68,2026-02-01,209.4,214.86,213.37,213.98,218.38,213.45
68,2026-03-01,210.9,214.74,213.44,214.07,218.46,213.53
68,2026-04-01,216.3,215.37,214.38,215.03,219.19,214.46
68,2026-05-01,218.8,216.02,214.7,215.38,219.15,214.81
68,2026-06-01,222.3,217.78,215.95,216.66,220.31,216.06
68,2026-07-01,223.4,218.25,216.17,216.9,220.72,216.29
69,2025-09-01,207.4,206.72,208.04,207.85,215.21,208.02
69,2025-10-01,207.5,206.66,208.3,208.09,214.8,208.27
69,2025-11-01,207.2,206.98,209.37,209.12,216.35,209.33
69,2025-12-01,210.5,208.24,209.78,209.57,218.18,209.72
69,2026-01-01,211.4,208.71,209.98,209.81,220.35,209.9
69,2026-02-01,209.4,208.5,210.69,210.41,220.97,210.62
69,2026-03-01,210.9,207.68,210.66,210.34,219.42,210.59
69,2026-04-01,216.3,208.72,210.71,210.47,221.82,210.64
69,2026-05-01,218.8,210.01,211.95,211.67,222.9,211.87
69,2026-06-01,222.3,211.65,212.31,212.11,224.21,212.19
69,2026-07-01,223.4,211.64,213.01,212.77,224.84,212.89
69,2026-08-01,223.9,211.13,212.75,212.52,224.58,212.63
