date,Actual,DTW,MQL,WQL,SQL,Soft-DTW
2025-09-01,207.4,206.72,208.04,208.02,207.85,215.21
2025-10-01,207.5,206.66,208.3,208.27,208.09,214.8
2025-11-01,207.2,206.98,209.37,209.33,209.12,216.35
2025-12-01,210.5,208.24,209.78,209.72,209.57,218.18
2026-01-01,211.4,208.71,209.98,209.9,209.81,220.35
2026-02-01,209.4,208.5,210.69,210.62,210.41,220.97
2026-03-01,210.9,207.68,210.66,210.59,210.34,219.42
2026-04-01,216.3,208.72,210.71,210.64,210.47,221.82
2026-05-01,218.8,210.01,211.95,211.87,211.67,222.9
2026-06-01,222.3,211.65,212.31,212.19,212.11,224.21
2026-07-01,223.4,211.64,213.01,212.89,212.77,224.84
2026-08-01,223.9,211.13,212.75,212.63,212.52,224.58
